RK,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
74,Václav Černý,MF,Czechia,26,1997,0.6,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0
75,Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,10,5,7,2,1,6,9,66.7,3,7,2,5,1,11,3,0
76,Federico Chiesa,"FW,MF",Italy,26,1997,2.9,6,4,4,1,1,3,5,60.0,2,0,0,0,3,9,2,0
77,Tomáš Chorý,MF,Czechia,29,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
78,Andreas Christensen,DF,Denmark,27,1996,3.9,4,2,4,0,0,3,3,100.0,0,3,1,2,6,10,11,0
79,Ryan Christie,"MF,FW",Scotland,28,1995,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
80,Mojmir Chytil,FW,Czechia,24,1999,1.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
81,Alexandru Cicâldău,MF,Romania,26,1997,0.2,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0
82,Florinel Coman,MF,Romania,25,1998,1.3,1,1,1,0,0,0,0,,0,1,0,1,1,2,2,0
83,Kingsley Coman,MF,France,27,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
84,Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,2,1,0,2,0,0,3,0.0,3,1,0,1,0,2,0,0
85,Diogo Costa,GK,Portugal,24,1999,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
86,Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,5,4,4,1,0,4,9,44.4,5,7,6,1,2,7,13,0
87,Bryan Cristante,MF,Italy,28,1995,1.5,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0
88,Kevin Csoboth,DF,Hungary,23,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
89,Marc Cucurella,DF,Spain,25,1998,6.1,12,9,3,6,3,5,8,62.5,3,9,4,5,8,20,12,0
90,Mirlind Daku,FW,Albania,26,1998,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
91,Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,1,1,1,0,0,0,0,,0,2,1,1,1,2,1,0
92,Mikkel Damsgaard,FW,Denmark,23,2000,0.4,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,0
93,Kevin Danso,DF,Austria,25,1998,2.4,0,0,0,0,0,0,1,0.0,1,4,3,1,0,0,13,0
94,Márton Dárdai,DF,Hungary,21,2002,1.9,4,1,4,0,0,2,5,40.0,3,2,0,2,0,4,3,0
95,Matteo Darmian,DF,Italy,34,1989,1.8,1,1,1,0,0,1,2,50.0,1,4,3,1,1,2,6,0
96,Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,4,3,2,0,2,2,3,66.7,1,3,0,3,0,4,1,0
97,Paweł Dawidowicz,DF,Poland,28,1995,2.0,1,0,1,0,0,0,1,0.0,1,4,3,1,0,1,7,0
98,Kevin De Bruyne,MF,Belgium,32,1991,4.0,5,1,3,0,2,1,3,33.3,2,2,0,2,0,5,2,0
99,Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
100,Zeno Debast,DF,Belgium,20,2003,1.2,3,1,2,1,0,1,1,100.0,0,3,1,2,0,3,8,0
101,Thomas Delaney,MF,Denmark,32,1991,0.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
102,Ousmane Dembélé,"FW,MF",France,26,1997,4.0,8,5,0,5,3,3,3,100.0,0,7,0,7,1,9,2,1
103,Merih Demiral,DF,Türkiye,25,1998,2.3,2,2,2,0,0,2,2,100.0,0,8,6,2,4,6,26,1
104,Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,13,9,9,3,1,7,12,58.3,5,4,1,3,6,19,6,1
105,Rúben Dias,DF,Portugal,26,1997,4.7,2,1,2,0,0,1,3,33.3,2,7,4,3,3,5,12,0
106,Federico Dimarco,"DF,FW",Italy,26,1997,2.5,4,2,0,2,2,2,2,100.0,0,4,2,2,2,6,2,1
107,Berat Djimsiti,DF,Albania,30,1993,3.0,1,0,1,0,0,0,1,0.0,1,8,5,3,2,3,16,0
108,Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,3,2,3,0,0,1,4,25.0,3,1,0,1,1,4,1,1
109,Kasper Dolberg,FW,Denmark,26,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
110,Gianluigi Donnarumma,GK,Italy,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
111,David Doudera,FW,Czechia,25,1998,1.0,3,2,3,0,0,3,4,75.0,1,1,0,1,0,3,2,0
112,Artem Dovbyk,FW,Ukraine,26,1997,2.7,2,2,0,0,2,0,0,,0,0,0,0,1,3,2,0
113,Denis Drăguș,FW,Romania,24,1999,3.2,2,1,1,0,1,0,5,0.0,5,4,1,3,1,3,8,0
114,Radu Drăgușin,DF,Romania,21,2002,4.0,1,1,1,0,0,1,3,33.3,2,6,4,2,6,7,33,0
115,Vanja Drkušič,DF,Slovenia,24,1999,4.3,12,7,11,1,0,11,13,84.6,2,3,2,1,1,13,16,0
116,Kwadwo Duah,FW,Switzerland,26,1997,1.2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
117,Martin Dúbravka,GK,Slovakia,35,1989,4.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
118,Ondrej Duda,MF,Slovakia,29,1994,3.5,7,3,2,4,1,4,6,66.7,2,8,3,5,3,10,5,0
119,Denzel Dumfries,DF,Netherlands,27,1996,5.0,7,5,4,0,3,4,7,57.1,3,5,2,3,3,10,6,0
120,Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
121,Lasha Dvali,DF,Georgia,28,1995,4.0,8,3,7,1,0,4,7,57.1,3,6,5,1,1,9,24,0
122,Timi Elšnik,MF,Slovenia,25,1998,4.0,13,7,7,4,2,5,7,71.4,2,6,3,3,4,17,5,0
123,Breel Embolo,FW,Switzerland,26,1997,3.3,3,3,0,2,1,0,0,,0,3,0,3,1,4,3,0
124,Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,6,2,1,3,2,3,4,75.0,1,3,0,3,2,8,2,0
125,Eberechi Eze,"DF,MF",England,25,1998,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
126,Wout Faes,DF,Belgium,25,1998,4.0,10,7,5,5,0,3,3,100.0,0,5,3,2,4,14,11,2
127,Nicolò Fagioli,MF,Italy,22,2001,1.1,3,1,2,0,1,1,2,50.0,1,1,1,0,0,3,0,0
128,João Félix,"MF,FW",Portugal,24,1999,1.2,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
129,Bruno Fernandes,MF,Portugal,29,1994,4.2,8,5,5,3,0,2,3,66.7,1,6,1,5,2,10,2,0
130,Attila Fiola,DF,Hungary,33,1990,2.0,3,1,2,0,1,2,2,100.0,0,1,1,0,0,3,9,0
131,Phil Foden,"FW,MF",England,23,2000,6.9,7,4,2,3,2,1,4,25.0,3,7,0,7,1,8,4,0
132,Youssouf Fofana,MF,France,25,1999,0.5,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,1,0
133,Michael Folorunsho,FW,Italy,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
134,Przemysław Frankowski,DF,Poland,28,1995,3.0,7,5,6,0,1,3,12,25.0,9,1,0,1,1,8,12,0
135,Davide Frattesi,MF,Italy,24,1999,2.1,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
136,Remo Freuler,MF,Switzerland,31,1992,5.1,8,5,3,3,2,1,7,14.3,6,8,0,8,4,12,10,0
137,Jeremie Frimpong,FW,Netherlands,23,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
138,Chris Führich,FW,Germany,26,1998,0.2,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,0,0
139,Niclas Füllkrug,FW,Germany,30,1993,1.8,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0
140,Mijat Gaćinović,DF,Serbia,28,1995,0.5,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0
141,Cody Gakpo,FW,Netherlands,24,1999,5.8,9,8,3,4,2,2,12,16.7,10,5,0,5,4,13,5,0
142,Conor Gallagher,MF,England,23,2000,1.3,1,0,1,0,0,0,2,0.0,2,3,1,2,1,2,4,1
143,Dániel Gazdag,MF,Hungary,27,1996,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
144,Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,4,3,3,1,0,0,0,,0,2,0,2,0,4,0,0
145,Billy Gilmour,MF,Scotland,22,2001,2.0,1,1,0,1,0,0,0,,0,2,0,2,0,1,2,0
146,Olivier Giroud,FW,France,37,1986,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0
147,Klaus Gjasula,MF,Albania,34,1989,0.2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
148,Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,9,5,8,1,0,4,9,44.4,5,7,0,7,5,14,10,0
149,Anthony Gordon,FW,England,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
150,Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,1,1,1,0,0,0,1,0.0,1,3,3,0,0,1,2,0
151,Michael Gregoritsch,FW,Austria,29,1994,1.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
152,Antoine Griezmann,"MF,FW",France,32,1991,4.4,5,3,2,2,1,4,6,66.7,2,4,0,4,1,6,2,1
153,Florian Grillitsch,MF,Austria,28,1995,2.2,2,1,1,0,1,1,3,33.3,2,0,0,0,6,8,0,0
154,Álex Grimaldo,DF,Spain,28,1995,1.3,1,1,1,0,0,1,2,50.0,1,1,0,1,3,4,4,0
155,Pascal Groß,MF,Germany,32,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
156,Kamil Grosicki,MF,Poland,35,1988,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
157,Nemanja Gudelj,MF,Serbia,32,1991,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0
158,Marc Guéhi,DF,England,23,2000,6.3,3,2,1,1,1,1,2,50.0,1,11,6,5,2,5,13,0
159,Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
160,Arda Güler,"FW,MF",Türkiye,18,2005,3.8,9,5,5,2,2,7,11,63.6,4,0,0,0,3,12,0,0
161,İlkay Gündoğan,MF,Germany,33,1990,4.3,5,4,1,3,1,0,2,0.0,2,0,0,0,1,6,0,0
162,Angus Gunn,GK,Scotland,28,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
163,Mert Günok,GK,Türkiye,34,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2
164,Joško Gvardiol,DF,Croatia,22,2002,3.0,5,3,3,1,1,2,4,50.0,2,2,1,1,5,10,4,0
165,Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,3,3,3,0,0,3,5,60.0,2,3,3,0,2,5,15,1
