Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
226,Saba Kvirkvelia,DF,Georgia,31,1992,3,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
227,Qazim Laçi,"MF,FW",Albania,28,1996,3,2,163,1.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,4,9,0.55,0.00,0.55,0.55,0.55,0.18,0.04,0.22,0.18,0.22
228,Konrad Laimer,"MF,FW",Austria,26,1997,4,3,270,3.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,7,17,10,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.18,0.18,0.18
229,Ádám Lang,DF,Hungary,31,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,Aymeric Laporte,DF,Spain,29,1994,6,6,525,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,13,46,1,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
231,Robin Le Normand,DF,Spain,27,1996,6,5,442,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.4,3,19,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
232,Rafael Leão,FW,Portugal,24,1999,4,4,287,3.2,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,28,13,32,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21
233,Robert Lewandowski,FW,Poland,35,1988,2,1,121,1.3,1,0,1,0,1,1,1,0,1.0,0.2,0.1,0.2,0,2,5,0.74,0.00,0.74,0.00,0.00,0.71,0.05,0.76,0.12,0.17
234,Philipp Lienhart,DF,Austria,27,1996,3,3,214,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,8,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
235,Ondřej Lingr,"MF,FW",Czechia,25,1998,3,0,83,0.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,2,6,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51
