Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
467,Silvan Widmer,DF,Switzerland,30,1993,3.3,127,89,38,0,0,0,4,38,0,0,0,0,96,0,5
468,Georginio Wijnaldum,MF,Netherlands,33,1990,0.8,16,16,0,0,0,0,0,0,0,0,0,0,10,0,3
469,Nico Williams,FW,Spain,21,2002,5.5,220,196,24,3,1,2,33,0,21,14,1,0,179,0,5
470,Patrick Wimmer,"FW,MF",Austria,22,2001,1.5,48,42,5,1,0,0,8,0,4,2,2,0,32,1,2
471,Jonas Wind,FW,Denmark,24,1999,2.1,77,77,0,0,0,0,1,0,0,0,0,0,62,0,0
472,Florian Wirtz,"FW,MF",Germany,20,2003,3.1,190,178,11,2,2,1,5,6,2,0,0,0,168,1,2
473,Maximilian Wöber,DF,Austria,25,1998,1.9,118,117,1,1,0,0,3,0,0,0,0,0,101,0,1
474,Granit Xhaka,MF,Switzerland,31,1992,5.3,407,393,13,11,3,1,1,1,0,0,0,0,369,1,2
475,Lamine Yamal,FW,Spain,16,2007,5.6,205,188,16,2,2,0,24,2,12,7,0,0,158,1,9
476,Roman Yaremchuk,FW,Ukraine,28,1995,1.3,30,29,1,0,0,1,0,0,0,0,0,0,23,0,1
477,Andriy Yarmolenko,"FW,MF",Ukraine,34,1989,1.2,49,46,3,2,1,0,5,1,0,0,0,0,34,0,1
478,Yusuf Yazıcı,"MF,FW",Türkiye,27,1997,0.6,20,19,1,0,0,0,0,0,0,0,0,0,16,0,0
479,Kenan Yıldız,"FW,MF",Türkiye,18,2005,3.8,110,109,1,0,1,0,2,1,0,0,0,0,92,0,3
480,Okay Yokuşlu,"MF,DF",Türkiye,29,1994,0.6,28,28,0,0,0,0,0,0,0,0,0,0,26,0,0
481,İsmail Yüksek,MF,Türkiye,25,1999,1.7,99,99,0,0,0,1,0,0,0,0,0,0,91,0,0
482,Illia Zabarnyi,DF,Ukraine,21,2002,3.0,200,192,7,6,0,1,0,0,0,0,0,0,172,1,1
483,Mattia Zaccagni,"MF,FW",Italy,28,1995,0.9,38,34,4,0,0,0,5,2,2,2,0,0,30,0,0
484,Denis Zakaria,MF,Switzerland,27,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
485,Nicola Zalewski,DF,Poland,22,2002,2.7,100,89,11,2,0,0,10,9,0,0,0,0,73,0,8
486,Piotr Zieliński,MF,Poland,29,1994,2.8,150,136,14,5,1,0,11,0,6,2,4,0,123,0,3
487,Oleksandr Zinchenko,DF,Ukraine,27,1996,2.4,161,146,14,4,0,3,4,7,3,0,1,0,137,1,1
488,Joshua Zirkzee,"FW,DF",Netherlands,22,2001,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
489,Andrija Živković,DF,Serbia,27,1996,2.7,142,122,20,0,0,2,13,20,0,0,0,0,115,0,6
490,Budu Zivzivadze,"FW,MF",Georgia,29,1994,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
491,Steven Zuber,MF,Switzerland,32,1991,0.9,35,35,0,0,0,1,1,0,0,0,0,0,32,0,2
492,Martín Zubimendi,MF,Spain,24,1999,1.6,117,116,1,1,0,1,1,0,0,0,0,0,108,0,1
493,Oleksandr Zubkov,FW,Ukraine,27,1996,0.3,10,8,1,0,0,0,0,1,0,0,0,0,6,1,1
