Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
94,Márton Dárdai,DF,Hungary,21,2002,1.9,95,83,10,3,0,3,0,6,0,0,0,0,66,2,0
95,Matteo Darmian,DF,Italy,34,1989,1.8,107,98,9,1,0,0,1,8,0,0,0,0,97,0,2
96,Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,37,36,1,0,0,0,1,0,1,0,1,0,33,0,0
97,Paweł Dawidowicz,DF,Poland,28,1995,2.0,79,75,4,2,0,0,0,0,0,0,0,0,74,0,1
98,Kevin De Bruyne,MF,Belgium,32,1991,4.0,227,189,37,9,7,3,21,5,20,7,4,1,164,1,7
99,Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Zeno Debast,DF,Belgium,20,2003,1.2,109,102,6,1,1,1,0,5,0,0,0,0,97,1,0
101,Thomas Delaney,MF,Denmark,32,1991,0.9,35,35,0,0,0,0,1,0,0,0,0,0,22,0,0
102,Ousmane Dembélé,"FW,MF",France,26,1997,4.0,176,154,22,4,2,1,36,2,16,3,8,0,119,0,9
103,Merih Demiral,DF,Türkiye,25,1998,2.3,94,86,8,6,0,0,2,0,0,0,0,0,82,0,0
104,Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,323,275,48,13,2,0,2,35,0,0,0,0,285,0,3
105,Rúben Dias,DF,Portugal,26,1997,4.7,411,396,14,10,0,0,3,0,0,0,0,0,382,1,1
106,Federico Dimarco,"DF,FW",Italy,26,1997,2.5,125,100,23,2,0,1,12,15,6,2,2,0,99,2,7
107,Berat Djimsiti,DF,Albania,30,1993,3.0,144,140,3,3,0,1,0,0,0,0,0,0,127,1,0
108,Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,113,108,4,0,1,2,8,4,0,0,0,0,89,1,6
109,Kasper Dolberg,FW,Denmark,26,1997,0.4,10,10,0,0,0,0,1,0,0,0,0,0,7,0,0
110,Gianluigi Donnarumma,GK,Italy,24,1999,4.0,102,81,21,5,0,0,0,0,0,0,0,0,87,0,0
111,David Doudera,FW,Czechia,25,1998,1.0,24,23,1,0,0,0,1,1,0,0,0,0,18,0,0
112,Artem Dovbyk,FW,Ukraine,26,1997,2.7,34,28,6,0,0,0,0,1,0,0,0,0,27,0,2
113,Denis Drăguș,FW,Romania,24,1999,3.2,54,51,3,0,0,0,1,0,0,0,0,0,35,0,1
114,Radu Drăgușin,DF,Romania,21,2002,4.0,106,97,9,7,1,1,0,2,0,0,0,0,90,0,0
115,Vanja Drkušič,DF,Slovenia,24,1999,4.3,109,105,4,4,0,1,1,0,0,0,0,0,84,0,1
116,Kwadwo Duah,FW,Switzerland,26,1997,1.2,25,23,2,0,0,0,1,0,0,0,0,0,13,0,0
117,Martin Dúbravka,GK,Slovakia,35,1989,4.3,162,122,39,16,0,0,0,0,0,0,0,0,108,1,0
118,Ondrej Duda,MF,Slovakia,29,1994,3.5,170,162,8,3,0,1,9,0,5,1,4,0,138,0,4
