right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,3.9,4,2,4,3,0,3,1,100.0,0,3,0,2,6,10,0,,https://fbref.com/en/players/1cb49278/matchlogs/2024/defense/Andreas-Christensen-Match-Logs,11
79,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,1.1,0,1,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/26ce2263/matchlogs/2024/defense/Ryan-Christie-Match-Logs,0
80,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,1.2,2,2,2,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/01a08323/matchlogs/2024/defense/Mojmir-Chytil-Match-Logs,0
81,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,0.2,2,2,1,1,0,1,2,100.0,0,1,0,0,0,,0,0,https://fbref.com/en/players/cdafb19d/matchlogs/2024/defense/Alexandru-Cicaldau-Match-Logs,0
82,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,1.3,1,1,1,1,0,1,2,,0,1,0,2,0,,0,0,https://fbref.com/en/players/a9440c25/matchlogs/2024/defense/Florinel-Coman-Match-Logs,0
83,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,0.2,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/042e8a49/matchlogs/2024/defense/Kingsley-Coman-Match-Logs,0
84,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,2.0,2,1,2,3,0,1,3,0.0,0,0,0,1,0,2,0,0,https://fbref.com/en/players/5ef3d210/matchlogs/2024/defense/Francisco-Conceicao-Match-Logs,
85,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,0,2,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/defense/Diogo-Costa-Match-Logs,0
86,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,3.0,5,4,4,1,0,4,9,,0,7,13,44.4,2,5,7,1,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/defense/Vladimir-Coufal-Match-Logs,6
87,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,1.5,1,1,2,1,0,2,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/16657b95/matchlogs/2024/defense/Bryan-Cristante-Match-Logs,0
88,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,0.1,1,1,1,1,0,0,0,0.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/defense/Kevin-Csoboth-Match-Logs,0
89,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,5.1,12,9,3,6,0,5,3,10,,9,18,8,6,62.5,5,4,https://fbref.com/en/players/1daec722/matchlogs/2024/defense/Marc-Cucurella-Match-Logs,3
90,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/a04adf33/matchlogs/2024/defense/Mirlind-Daku-Match-Logs,0
91,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,1.7,1,1,1,1,0,2,1,,0,1,0,2,0,1,0,0,https://fbref.com/en/players/d9565625/matchlogs/2024/defense/Diogo-Dalot-Match-Logs,
92,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,0.4,1,1,1,1,0,1,2,,0,1,0,1,0,,0,0,https://fbref.com/en/players/215f3907/matchlogs/2024/defense/Mikkel-Damsgaard-Match-Logs,0
93,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,2.4,4,1,1,3,0,0,1,0.0,0,0,0,13,0,,0,0,https://fbref.com/en/players/6e33125f/matchlogs/2024/defense/Kevin-Danso-Match-Logs,0
94,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,1.9,4,1,4,5,0,2,40.0,,0,2,0,3,0,2,0,3,https://fbref.com/en/players/41bff4fa/matchlogs/2024/defense/Marton-Dardai-Match-Logs,4
95,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,1.8,1,1,1,2,0,1,1,50.0,0,4,0,3,1,1,,6,https://fbref.com/en/players/96e0490d/matchlogs/2024/defense/Matteo-Darmian-Match-Logs,2
96,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,1.3,4,3,2,2,0,2,3,66.7,0,3,0,1,0,3,,1,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/defense/Zuriko-Davitashvili-Match-Logs,4
97,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,2.0,1,1,1,1,0,4,3,0.0,0,0,0,1,0,1,0,,https://fbref.com/en/players/16bb656a/matchlogs/2024/defense/Pawel-Dawidowicz-Match-Logs,7
98,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,4.0,5,1,3,2,0,1,3,33.3,0,2,0,2,0,2,,2,https://fbref.com/en/players/e46012d4/matchlogs/2024/defense/Kevin-De-Bruyne-Match-Logs,5
99,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/2ef7c612/matchlogs/2024/defense/Charles-De-Ketelaere-Match-Logs,0
100,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,1.2,3,1,2,1,0,1,1,100.0,0,3,0,1,0,2,,8,https://fbref.com/en/players/064461b7/matchlogs/2024/defense/Zeno-Debast-Match-Logs,3
101,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,0.9,2,2,2,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/fe641c1a/matchlogs/2024/defense/Thomas-Delaney-Match-Logs,0
102,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,4.0,8,5,5,3,0,3,3,100.0,0,7,0,7,1,9,,1,https://fbref.com/en/players/b19db005/matchlogs/2024/defense/Ousmane-Dembele-Match-Logs,2
103,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,2.3,2,2,2,2,0,2,6,100.0,0,8,0,2,4,6,,1,https://fbref.com/en/players/e3cceee6/matchlogs/2024/defense/Merih-Demiral-Match-Logs,26
104,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,4.0,13,9,9,3,1,7,1,6,,4,19,12,6,58.3,3,1,https://fbref.com/en/players/230a2fac/matchlogs/2024/defense/Giovanni-Di-Lorenzo-Match-Logs,5
105,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,4.7,2,1,2,3,0,1,2,33.3,0,7,0,4,3,3,,12,https://fbref.com/en/players/31c69ef1/matchlogs/2024/defense/Ruben-Dias-Match-Logs,5
106,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-244,1997,2.5,4,2,2,2,0,2,2,100.0,0,4,,2,2,2,1,2,https://fbref.com/en/players/970b8574/matchlogs/2024/defense/Federico-Dimarco-Match-Logs,6
107,Berat Djimsiti,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,31-143,1993,3.0,1,1,1,1,0,8,5,0.0,0,2,0,3,0,3,0,,https://fbref.com/en/players/6eee05f1/matchlogs/2024/defense/Berat-Djimsiti-Match-Logs,16
108,Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,"FW,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-045,2002,3.6,3,2,3,4,0,1,25.0,,0,1,0,3,1,1,1,1,https://fbref.com/en/players/fffea3e5/matchlogs/2024/defense/Jeremy-Doku-Match-Logs,4
109,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-279,1997,0.4,1,1,1,1,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/cc83b74d/matchlogs/2024/defense/Kasper-Dolberg-Match-Logs,0
110,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,0,2,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/08f5afaa/matchlogs/2024/defense/Gianluigi-Donnarumma-Match-Logs,0
111,David Doudera,https://fbref.com/en/players/e95b4604/David-Doudera,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-041,1998,1.0,3,2,3,4,0,3,75.0,,0,1,0,1,0,1,0,2,https://fbref.com/en/players/e95b4604/matchlogs/2024/defense/David-Doudera-Match-Logs,3
112,Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-020,1997,2.7,2,2,2,3,0,1,2,,0,0,0,0,0,,0,0,https://fbref.com/en/players/5b847bb0/matchlogs/2024/defense/Artem-Dovbyk-Match-Logs,0
113,Denis Drăguș,https://fbref.com/en/players/0e490f6e/Denis-Dragus,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-005,1999,3.2,2,1,1,1,0,4,5,,0.0,1,0,5,0,1,8,3,https://fbref.com/en/players/0e490f6e/matchlogs/2024/defense/Denis-Dragus-Match-Logs,3
114,Radu Drăgușin,https://fbref.com/en/players/620922ed/Radu-Dragusin,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,22-159,2002,4.0,1,1,1,3,0,1,2,33.3,0,6,0,4,6,2,,33,https://fbref.com/en/players/620922ed/matchlogs/2024/defense/Radu-Dragusin-Match-Logs,7
115,Vanja Drkušič,https://fbref.com/en/players/e2e816b9/Vanja-Drkusic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-255,1999,4.3,12,7,11,1,0,11,13,,0,3,16,84.6,1,2,13,1,https://fbref.com/en/players/e2e816b9/matchlogs/2024/defense/Vanja-Drkusic-Match-Logs,2
116,Kwadwo Duah,https://fbref.com/en/players/66089708/Kwadwo-Duah,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-138,1997,1.2,1,1,1,1,0,1,2,100.0,0,1,0,0,0,,0,0,https://fbref.com/en/players/66089708/matchlogs/2024/defense/Kwadwo-Duah-Match-Logs,0
117,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,1,1,1,3,0,1,1,,0,0,0,0,0,,0,0,https://fbref.com/en/players/3a949a25/matchlogs/2024/defense/Martin-Dubravka-Match-Logs,0
118,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-219,1994,3.5,7,3,2,4,0,4,1,5,,8,10,6,3,66.7,5,3,https://fbref.com/en/players/79ca3e23/matchlogs/2024/defense/Ondrej-Duda-Match-Logs,2
119,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,28-084,1996,5.0,7,5,4,3,0,4,7,,0,5,6,57.1,3,3,10,3,https://fbref.com/en/players/481c9ece/matchlogs/2024/defense/Denzel-Dumfries-Match-Logs,2
120,Dávid Ďuriš,https://fbref.com/en/players/5e0a43de/David-Duris,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,25-111,1999,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/5e0a43de/matchlogs/2024/defense/David-Duris-Match-Logs,0
121,Lasha Dvali,https://fbref.com/en/players/303636d2/Lasha-Dvali,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-058,1995,4.0,8,3,7,1,0,4,7,,0,6,24,57.1,1,3,9,1,https://fbref.com/en/players/303636d2/matchlogs/2024/defense/Lasha-Dvali-Match-Logs,5
122,Timi Elšnik,https://fbref.com/en/players/66f040ff/Timi-Elsnik,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-073,1998,4.0,13,7,7,4,0,5,2,5,,6,17,7,4,71.4,3,3,https://fbref.com/en/players/66f040ff/matchlogs/2024/defense/Timi-Elsnik-Match-Logs,2
123,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,3.3,3,3,2,1,0,3,3,,0,1,0,4,0,3,0,0,https://fbref.com/en/players/0b4f388a/matchlogs/2024/defense/Breel-Embolo-Match-Logs,
124,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,3.9,6,2,1,3,0,3,2,,0,3,2,4,2,75.0,8,3,https://fbref.com/en/players/980522ec/matchlogs/2024/defense/Christian-Eriksen-Match-Logs,1
125,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,1.1,0,3,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/defense/Eberechi-Eze-Match-Logs,0
126,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,4.0,10,7,5,5,0,3,3,100.0,0,5,,3,4,2,2,11,https://fbref.com/en/players/9c221d14/matchlogs/2024/defense/Wout-Faes-Match-Logs,14
127,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,1.1,3,1,2,1,0,1,2,50.0,0,1,0,1,0,1,0,,https://fbref.com/en/players/366be751/matchlogs/2024/defense/Nicolo-Fagioli-Match-Logs,3
128,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,1.2,0,4,4,0,0,0,0,0,0,0,0,0,0,,0,0.0,https://fbref.com/en/players/8aafd64f/matchlogs/2024/defense/Joao-Felix-Match-Logs,0
129,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,4.2,8,5,5,3,0,2,3,66.7,0,6,,1,2,1,2,10,https://fbref.com/en/players/507c7bdf/matchlogs/2024/defense/Bruno-Fernandes-Match-Logs,5
130,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,2.0,3,1,2,1,0,2,2,100.0,0,1,0,1,0,3,0,,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/defense/Attila-Fiola-Match-Logs,9
131,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,5.9,5,3,2,2,0,1,1,,0,5,2,4,1,25.0,6,5,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/defense/Phil-Foden-Match-Logs,3
132,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,0.5,1,1,1,3,0,1,3,0.0,0,0,0,2,0,1,0,0,https://fbref.com/en/players/822d51d7/matchlogs/2024/defense/Youssouf-Fofana-Match-Logs,
133,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/c391a179/matchlogs/2024/defense/Michael-Folorunsho-Match-Logs,0
134,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,3.0,7,5,6,1,0,3,12,,0,1,0,25.0,1,9,12,8,https://fbref.com/en/players/00a8d210/matchlogs/2024/defense/Przemyslaw-Frankowski-Match-Logs,1
135,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,2.1,2,1,1,1,0,1,2,50.0,0,0,0,1,0,2,0,,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/defense/Davide-Frattesi-Match-Logs,1
136,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,5.1,8,5,3,3,0,1,2,,0,8,10,7,4,14.3,12,8,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/defense/Remo-Freuler-Match-Logs,6
137,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,1.0,0,1,1,1,0,0,0,0.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/74f2e748/matchlogs/2024/defense/Jeremie-Frimpong-Match-Logs,0
138,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,0.2,1,1,1,1,0,1,2,100.0,0,2,0,1,0,,0,0,https://fbref.com/en/players/0cf778df/matchlogs/2024/defense/Chris-Fuhrich-Match-Logs,0
139,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,1.8,1,1,1,1,0,1,3,100.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/4f16405e/matchlogs/2024/defense/Niclas-Fullkrug-Match-Logs,0
140,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,0.5,1,1,1,2,0,1,1,50.0,0,2,0,2,0,1,0,0,https://fbref.com/en/players/16daec92/matchlogs/2024/defense/Mijat-Gacinovic-Match-Logs,
141,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,5.8,9,8,3,4,0,2,2,,0,5,5,12,4,16.7,13,5,https://fbref.com/en/players/1971591f/matchlogs/2024/defense/Cody-Gakpo-Match-Logs,10
142,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,1.3,1,1,2,2,0,3,1,0.0,0,1,0,2,0,2,,1,https://fbref.com/en/players/c2731c10/matchlogs/2024/defense/Conor-Gallagher-Match-Logs,4
143,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,1,1,1,1,0,0.0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/527d0e31/matchlogs/2024/defense/Daniel-Gazdag-Match-Logs,0
144,Lutsharel Geertruida,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-359,2000,1.2,4,3,3,1,0,2,2,,0,0,0,4,0,,0,0,https://fbref.com/en/players/242e1043/matchlogs/2024/defense/Lutsharel-Geertruida-Match-Logs,0
145,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,23-030,2001,2.0,1,1,1,2,0,2,1,,0,0,0,2,0,,0,0,https://fbref.com/en/players/df10e27c/matchlogs/2024/defense/Billy-Gilmour-Match-Logs,0
146,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,37-285,1986,0.7,1,1,1,1,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/16ceb862/matchlogs/2024/defense/Olivier-Giroud-Match-Logs,0
147,Klaus Gjasula,https://fbref.com/en/players/431c837b/Klaus-Gjasula,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-210,1989,0.2,1,2,2,1,0,0,0,0.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/431c837b/matchlogs/2024/defense/Klaus-Gjasula-Match-Logs,0
148,Adam Gnezda Čerin,https://fbref.com/en/players/fe192f45/Adam-Gnezda-Cerin,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-361,1999,4.3,9,5,8,1,0,4,9,,0,7,0,44.4,5,5,10,14,https://fbref.com/en/players/fe192f45/matchlogs/2024/defense/Adam-Gnezda-Cerin-Match-Logs,7
149,Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-138,2001,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/2bd83368/matchlogs/2024/defense/Anthony-Gordon-Match-Logs,0
150,Jon Gorenc Stanković,https://fbref.com/en/players/9c74fa25/Jon-Gorenc-Stankovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-179,1996,1.0,1,1,1,1,0,3,1,0.0,0,0,0,3,0,1,0,,https://fbref.com/en/players/9c74fa25/matchlogs/2024/defense/Jon-Gorenc-Stankovic-Match-Logs,2
151,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-084,1994,1.4,1,1,1,2,0,1,1,50.0,0,1,0,1,0,1,0,0,https://fbref.com/en/players/8e235926/matchlogs/2024/defense/Michael-Gregoritsch-Match-Logs,
152,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann,"MF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-112,1991,4.4,5,3,2,2,0,4,1,1,,4,2,6,1,66.7,6,4,https://fbref.com/en/players/df69b544/matchlogs/2024/defense/Antoine-Griezmann-Match-Logs,2
153,Florian Grillitsch,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-339,1995,2.2,2,1,1,1,0,1,3,33.3,0,6,0,2,0,8,0,0,https://fbref.com/en/players/ffbbc83b/matchlogs/2024/defense/Florian-Grillitsch-Match-Logs,
154,Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-295,1995,1.3,1,1,1,2,0,1,1,50.0,0,1,0,1,3,4,0,,https://fbref.com/en/players/b1f4086c/matchlogs/2024/defense/Alex-Grimaldo-Match-Logs,4
155,Pascal Groß,https://fbref.com/en/players/8aec0537/Pascal-Gross,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-026,1991,0.5,1,1,1,1,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/8aec0537/matchlogs/2024/defense/Pascal-Gross-Match-Logs,0
156,Kamil Grosicki,https://fbref.com/en/players/81d8091f/Kamil-Grosicki,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,36-033,1988,0.2,1,1,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/81d8091f/matchlogs/2024/defense/Kamil-Grosicki-Match-Logs,0
