right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
12,Sandro Altunashvili,https://fbref.com/en/players/9432be82/Sandro-Altunashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,27-053,1997,0.6,0,3,1,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/9432be82/matchlogs/2024/defense/Sandro-Altunashvili-Match-Logs,0
13,Zeki Amdouni,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,23-220,2000,0.6,0,2,2,1,0,0,0,0.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/2ee5b0c9/matchlogs/2024/defense/Zeki-Amdouni-Match-Logs,0
14,Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-041,1996,4.0,5,1,2,3,0,3,3,100.0,0,4,0,1,2,3,,11,https://fbref.com/en/players/e34fc66d/matchlogs/2024/defense/Joachim-Andersen-Match-Logs,7
15,Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-293,1994,3.5,12,8,8,4,0,5,7,,0,3,12,71.4,2,2,14,2,https://fbref.com/en/players/e0b113a7/matchlogs/2024/defense/Robert-Andrich-Match-Logs,1
16,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,0.4,0,2,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/5e66fa06/matchlogs/2024/defense/Waldemar-Anton-Match-Logs,0
17,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-103,1992,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/97333cf5/matchlogs/2024/defense/Stuart-Armstrong-Match-Logs,0
18,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,3.1,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,,https://fbref.com/en/players/00459419/matchlogs/2024/defense/Marko-Arnautovic-Match-Logs,2
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,2.3,3,1,3,7,0,1,14.3,,0,1,0,6,4,1,0,4,https://fbref.com/en/players/6354ac8c/matchlogs/2024/defense/Jasir-Asani-Match-Logs,7
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3.0,1,1,1,2,0,3,2,0.0,0,0,0,4,0,6,0,0,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/defense/Kristjan-Asllani-Match-Logs,
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,4.0,6,3,3,2,0,4,1,,0,5,17,10,2,40.0,8,5,https://fbref.com/en/players/2200181e/matchlogs/2024/defense/Kaan-Ayhan-Match-Logs,6
