right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
41,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,0.1,0,0,1,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/61b3978f/matchlogs/2024/misc/Bartosz-Bereszynski-Match-Logs,
42,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,1.0,0,0,1,1,1,2,5,,0,0,0,0,0,https://fbref.com/en/players/a29b1131/matchlogs/2024/misc/Steven-Bergwijn-Match-Logs,
43,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,0.2,0,0,1,1,3,2,,0,0,0,1,0,0,https://fbref.com/en/players/9d376bef/matchlogs/2024/misc/Medon-Berisha-Match-Logs,0.0
44,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,1.7,0,0,1,4,3,6,5,28.6,0,0,2,0,0,https://fbref.com/en/players/505486d6/matchlogs/2024/misc/Victor-Bernth-Kristiansen-Match-Logs,
45,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,0.5,0,0,2,1,1,3,,0,0,0,0,0,0,https://fbref.com/en/players/b5e0af76/matchlogs/2024/misc/Matus-Bero-Match-Logs,
46,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,4.3,9,0,6,1,1,6,6,9,0,8,2,52.9,0,https://fbref.com/en/players/6fdac234/matchlogs/2024/misc/Jaka-Bijol-Match-Logs,
47,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,0.3,0,0,1,5,2,1,,0,0,0,0,0,0,https://fbref.com/en/players/636247ca/matchlogs/2024/misc/Veljko-Birmancevic-Match-Logs,0.0
48,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,0,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/691bef82/matchlogs/2024/misc/Daley-Blind-Match-Logs,
49,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,2.3,0,0,3,1,1,8,1,3,0,3,1,1,,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/misc/Bendeguz-Bolla-Match-Logs,0.0
50,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,1.0,0,0,2,1,1,2,6,50.0,0,0,6,0,0,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/misc/Endre-Botka-Match-Logs,
