right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28,right 29,right 30,left href 3,right 31,right 32,right 33,right 34,right 35,right 36,right 37,right 38,right 39
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1,1,90,1.0,0,0,0,0,0,0,0,1,2,1,,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,0.00,,,,https://fbref.com/en/players/cee88597/matchlogs/2024/summary/Ivan-Balliu-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3,3,270,3.0,0,0,0,0,0,0,0.0,7,2,0.1,0.1,0.00,12,4,0.0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,https://fbref.com/en/players/99847dc0/matchlogs/2024/summary/Nicusor-Bancu-Match-Logs,,,,,,,,,
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,3,1,41,0.5,0,0,0,0,0,0.0,0.0,1,2,1,2,0.00,4,,0.0,0.0,,,,,0.00,,,,https://fbref.com/en/players/01efac19/matchlogs/2024/summary/Antonin-Barak-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,3,1,103,1.1,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,9,7,20,,,,,0.70,,,,,,https://fbref.com/en/players/a0d55a09/matchlogs/2024/summary/Bradley-Barcola-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.56,0.70,0.14,0.14
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4,4,360,4.0,0,0,0,0,0,0,0.00,0.3,2,0.3,0.3,6,0.5,13,0.00,0.00,0.00,0.00,0.14,0.06,1,0.07,0.14,0.06,https://fbref.com/en/players/5d9cff53/matchlogs/2024/summary/Abdulkerim-Bardakci-Match-Logs,,,,,,,,,
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,4,4,332,3.7,0.02,0,0,0,0.00,0.10,0.02,1,1,1,1,0.1,0.1,0.3,0.27,0.10,0.27,0.08,0.27,8,0.4,21,7,0.27,https://fbref.com/en/players/6928979a/matchlogs/2024/summary/Nicolo-Barella-Match-Logs,,,,,,,,,
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4,4,360,4.0,0.13,0,0,0,0,0.0,0.00,1,1,1,0.5,0.5,0.5,21,0.25,0.00,0.13,0.13,0.13,5,6,0.25,0.25,0.25,https://fbref.com/en/players/75b86fb3/matchlogs/2024/summary/Alessandro-Bastoni-Match-Logs,,,,,,,,,
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,1,7,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,,,1,,,,0,0.0,0,0,,0.00,,,,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/summary/Martin-Baturina-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.95,0.95,0.95,0.95
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,4,3,289,3.2,0.56,0,0,0.74,0.56,0.74,0.18,1,1,2,1,1.8,1,1.8,0.31,0.62,0.62,0.31,0.31,17,0.6,2.4,9,17,https://fbref.com/en/players/437f2b00/matchlogs/2024/summary/Christoph-Baumgartner-Match-Logs,,,,,,,,,
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1,1,90,1.0,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,,,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/summary/Altay-Bayindir-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
