right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28,right 29,right 30,left href 3,right 31,right 32,right 33,right 34,right 35,right 36,right 37,right 38,right 39
110,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4,4,360,4.0,0,0,0,0,0,0,0.0,0.00,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,https://fbref.com/en/players/08f5afaa/matchlogs/2024/summary/Gianluigi-Donnarumma-Match-Logs,,,,,,,,,
111,David Doudera,https://fbref.com/en/players/e95b4604/David-Doudera,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-041,1998,1,1,90,1.0,0,0,0,0,0,0,0,3,2,1,,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,0.00,,,,https://fbref.com/en/players/e95b4604/matchlogs/2024/summary/David-Doudera-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
112,Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-020,1997,3,3,246,2.7,0,0,0,0,0,0,0.00,0.6,1,0.6,0.6,2,1.2,2,0.00,0.00,0.00,0.00,0.44,0.23,12,0.20,0.44,0.23,https://fbref.com/en/players/5b847bb0/matchlogs/2024/summary/Artem-Dovbyk-Match-Logs,,,,,,,,,
113,Denis Drăguș,https://fbref.com/en/players/0e490f6e/Denis-Dragus,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-005,1999,4,4,291,3.2,0.33,0,0,0,0,0.00,0.35,1,1,1,1.1,1.1,0.1,1.1,0.31,0.33,0.02,0.35,0.31,2,3,13,0.31,0.31,https://fbref.com/en/players/0e490f6e/matchlogs/2024/summary/Denis-Dragus-Match-Logs,,,,,,,,,
114,Radu Drăgușin,https://fbref.com/en/players/620922ed/Radu-Dragusin,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,22-159,2002,4,4,360,4.0,0,0,0,0,0,0,0,0.2,0.2,0.2,3,0.06,1,0.06,0,0.0,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,https://fbref.com/en/players/620922ed/matchlogs/2024/summary/Radu-Dragusin-Match-Logs,,,,,,,,,
115,Vanja Drkušič,https://fbref.com/en/players/e2e816b9/Vanja-Drkusic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-255,1999,4,4,390,4.3,0,0,0,0,0,0,0.0,0.00,1,0.1,0.1,0.00,3,1,0.0,0.00,0.00,0.00,0.00,0,0.03,0.03,0.03,0.00,https://fbref.com/en/players/e2e816b9/matchlogs/2024/summary/Vanja-Drkusic-Match-Logs,,,,,,,,,
116,Kwadwo Duah,https://fbref.com/en/players/66089708/Kwadwo-Duah,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-138,1997,3,1,107,1.2,,0,0,0,0,0.0,,1,1,1,0.7,0.7,0.7,1,0.60,,0.60,0.60,0.60,1,5,,,,https://fbref.com/en/players/66089708/matchlogs/2024/summary/Kwadwo-Duah-Match-Logs,,0.00,0.00,,,0.84,0.84,0.84,0.84
117,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0,https://fbref.com/en/players/3a949a25/matchlogs/2024/summary/Martin-Dubravka-Match-Logs,,,,,,,,,
118,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-219,1994,4,4,317,3.5,0.08,0,0,0,0.00,0.12,0.08,1,1,1,1,0.3,0.3,0.1,0.28,0.12,0.28,0.04,0.28,2,0.4,9,9,0.28,https://fbref.com/en/players/79ca3e23/matchlogs/2024/summary/Ondrej-Duda-Match-Logs,,,,,,,,,
119,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,28-084,1996,5,5,449,5.0,0,0,0,0,0,0,0.00,0.3,2,0.3,0.7,7,0.9,19,0.00,0.00,0.00,0.00,0.19,0.05,42,0.14,0.19,0.05,https://fbref.com/en/players/481c9ece/matchlogs/2024/summary/Denzel-Dumfries-Match-Logs,,,,,,,,,
120,Dávid Ďuriš,https://fbref.com/en/players/5e0a43de/David-Duris,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,25-111,1999,2,23,0.3,1,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,,0,https://fbref.com/en/players/5e0a43de/matchlogs/2024/summary/David-Duris-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
121,Lasha Dvali,https://fbref.com/en/players/303636d2/Lasha-Dvali,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-058,1995,4,4,360,4.0,0,0,0,0,0,0,0,2,8,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/303636d2/matchlogs/2024/summary/Lasha-Dvali-Match-Logs,,,,,,,,,
122,Timi Elšnik,https://fbref.com/en/players/66f040ff/Timi-Elsnik,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-073,1998,4,4,359,4.0,0,0,0,0,0,0.00,0.22,0.3,1,1,0.3,12,0.5,0.9,0.00,0.08,0.14,0.22,0.25,0.08,11,3,0.25,0.25,https://fbref.com/en/players/66f040ff/matchlogs/2024/summary/Timi-Elsnik-Match-Logs,,,,,,,,,
123,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,5,3,296,3.3,0.65,0,0,0,0,0.00,0.70,2,2,2,2.1,2.1,0.2,2.3,0.61,0.65,0.05,0.70,0.61,4,6,13,0.61,0.61,https://fbref.com/en/players/0b4f388a/matchlogs/2024/summary/Breel-Embolo-Match-Logs,,,,,,,,,
124,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,4,4,348,3.9,0.33,0,0,0,0,0.00,0.55,1,1,1,1.3,1.3,0.8,2.1,0.26,0.33,0.21,0.55,0.26,5,17,14,0.26,0.26,https://fbref.com/en/players/980522ec/matchlogs/2024/summary/Christian-Eriksen-Match-Logs,,,,,,,,,
125,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,3,102,1.1,0.1,0,0,0,0,0,0,0,0.1,0.1,1,7,6,,,,0,0.0,,,,0.00,,,,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/summary/Eberechi-Eze-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.16
126,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,4,4,360,4.0,0,0,0,0,0,0,0.0,3,1,9,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9c221d14/matchlogs/2024/summary/Wout-Faes-Match-Logs,,,,,,,,,
127,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,2,1,95,1.1,0,0,0,0,0,0,0.0,3,1,6,,,,,0.0,0.0,0.0,0,0.03,,,,,,https://fbref.com/en/players/366be751/matchlogs/2024/summary/Nicolo-Fagioli-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.02
128,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,2,1,105,1.2,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,6,15,,,,,0.49,,,,,,https://fbref.com/en/players/8aafd64f/matchlogs/2024/summary/Joao-Felix-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.35,0.49,0.14,0.14
129,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,4,4,374,4.2,0.32,0,0,0,0,0.00,0.53,1,1,1,1.2,1.2,0.8,2.0,0.24,0.32,0.21,0.53,0.24,17,39,33,0.24,0.24,https://fbref.com/en/players/507c7bdf/matchlogs/2024/summary/Bruno-Fernandes-Match-Logs,,,,,,,,,
130,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,2,2,180,2.0,0,0,0,0,0,0,0,2,3,3,0.02,0.00,0.02,0.02,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/summary/Attila-Fiola-Match-Logs,,,,,,,,,
131,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,6,6,529,5.9,0,0,0,0,0,0,0.00,0.5,1,0.5,0.5,6,1.0,21,0.00,0.00,0.00,0.00,0.17,0.08,41,0.09,0.17,0.08,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/summary/Phil-Foden-Match-Logs,,,,,,,,,
132,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,3,41,0.5,2,0,0,0,0,0,0,0,1,1,,,,,,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/822d51d7/matchlogs/2024/summary/Youssouf-Fofana-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.21,0.21
133,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,1,1,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/c391a179/matchlogs/2024/summary/Michael-Folorunsho-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
134,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,3,3,270,3.0,0,0,0,0,0,0,0,6,0.4,0.4,11,0.00,9,0.15,0.0,0.0,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,https://fbref.com/en/players/00a8d210/matchlogs/2024/summary/Przemyslaw-Frankowski-Match-Logs,,,,,,,,,
135,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,4,2,185,2.1,0,0,0,0,0,0,0,0.3,0.3,0.3,4,2,13,0.12,0.00,0.0,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/summary/Davide-Frattesi-Match-Logs,,,,,,,,,
136,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,5,5,456,5.1,0.05,0,0,0.18,0.05,0.18,0.12,1,2,3,1,0.3,1,0.3,0.20,0.59,0.59,0.20,0.39,7,0.6,0.9,22,17,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/summary/Remo-Freuler-Match-Logs,,,,,,,,,
137,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,3,1,86,1.0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,2,10,,,,,0.12,,,,,,https://fbref.com/en/players/74f2e748/matchlogs/2024/summary/Jeremie-Frimpong-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.06,0.06
138,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,1,19,0.2,2,0,0,0,0,0,0,0,3,3,,,,,,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/0cf778df/matchlogs/2024/summary/Chris-Fuhrich-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17
139,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,5,166,1.8,2,0.69,0,0,0,0,0,0.00,2,2,1.0,0.6,1.0,1.6,4,1.08,1.09,1.09,0.69,0.40,2,12,1.08,1.08,1.08,https://fbref.com/en/players/4f16405e/matchlogs/2024/summary/Niclas-Fullkrug-Match-Logs,,,,,,,,,
140,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,1,45,0.5,1,0,0,0,0,0,0,0,0.1,0.1,0.1,4,,,,0,0.0,0,,,,0.00,,,,https://fbref.com/en/players/16daec92/matchlogs/2024/summary/Mijat-Gacinovic-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.13
141,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,6,6,523,5.8,0.18,0,0,0,0.52,0.18,0.52,3,1,4,3,1.1,1.1,2.0,0.52,0.34,0.52,0.69,0.69,22,3.0,11,55,0.17,https://fbref.com/en/players/1971591f/matchlogs/2024/summary/Cody-Gakpo-Match-Logs,,,,,,,,,
142,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,5,1,120,1.3,0,0,0,0,0,0,0.0,,1,1,1,0.00,0.00,0.00,0.0,0.0,0.0,,,0,0.00,,,,https://fbref.com/en/players/c2731c10/matchlogs/2024/summary/Conor-Gallagher-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
143,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,1,4,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/527d0e31/matchlogs/2024/summary/Daniel-Gazdag-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
144,Lutsharel Geertruida,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-359,2000,2,1,108,1.2,0,0,0,0,0,0,0,1,0.1,0.1,5,0.00,,,0.0,0.0,0,,,,0.00,,,,https://fbref.com/en/players/242e1043/matchlogs/2024/summary/Lutsharel-Geertruida-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,
145,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,23-030,2001,3,2,184,2.0,0,0,0,0,0,0,0,3,7,3,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/df10e27c/matchlogs/2024/summary/Billy-Gilmour-Match-Logs,,,,,,,,,
146,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,37-285,1986,4,59,0.7,0.2,0,0,0,0,0,0,0,0.2,0.2,5,,,,,0,0,0.0,0,0.29,,,,,,https://fbref.com/en/players/16ceb862/matchlogs/2024/summary/Olivier-Giroud-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.06,0.29,0.23,0.23
147,Klaus Gjasula,https://fbref.com/en/players/431c837b/Klaus-Gjasula,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-210,1989,1,19,0.2,1,0,0,0,0,0,0.0,0,1,1,1,0.3,0.3,0.3,3,1.48,,1.48,1.48,1.48,,,,,,https://fbref.com/en/players/431c837b/matchlogs/2024/summary/Klaus-Gjasula-Match-Logs,,0.00,0.00,,,4.74,4.74,4.74,4.74
148,Adam Gnezda Čerin,https://fbref.com/en/players/fe192f45/Adam-Gnezda-Cerin,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-361,1999,4,4,390,4.3,0,0,0,0,0,0,0,0.3,0.3,0.3,11,4,5,0.01,0.00,0.0,0.00,0.00,0.00,0.06,0.07,0.06,0.07,0.00,https://fbref.com/en/players/fe192f45/matchlogs/2024/summary/Adam-Gnezda-Cerin-Match-Logs,,,,,,,,,
149,Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-138,2001,1,2,1,1,0,0.0,0,0,0,0,0,,,,,0.00,,,0.0,0,0,0.0,0.0,0,0.00,,,0.0,https://fbref.com/en/players/2bd83368/matchlogs/2024/summary/Anthony-Gordon-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.84,0.84,0.84,
150,Jon Gorenc Stanković,https://fbref.com/en/players/9c74fa25/Jon-Gorenc-Stankovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-179,1996,4,94,1.0,1,0,0,0,0,0,0,0,,5,1,,,,,0.0,0.0,0.0,0.0,,0,0.00,,,,https://fbref.com/en/players/9c74fa25/matchlogs/2024/summary/Jon-Gorenc-Stankovic-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05
151,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-084,1994,4,1,126,1.4,0,0,0,0,0,0.0,,1,1,1,0.9,0.9,0.9,3,0.68,,0.68,0.68,0.68,,9,,,,https://fbref.com/en/players/8e235926/matchlogs/2024/summary/Michael-Gregoritsch-Match-Logs,,0.00,0.00,,,0.71,0.71,0.71,0.71
152,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann,"MF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-112,1991,6,4,394,4.4,0,0,0,0,0,0,0.00,2.0,1,2.0,0.3,7,2.3,24,0.00,0.00,0.00,0.00,0.53,0.45,23,0.08,0.53,0.45,https://fbref.com/en/players/df69b544/matchlogs/2024/summary/Antoine-Griezmann-Match-Logs,,,,,,,,,
153,Florian Grillitsch,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-339,1995,4,3,194,2.2,0,0,0,0,0,0.00,0.15,0.2,1,1,0.2,5,0.1,0.3,0.00,0.09,0.06,0.15,0.46,0.09,22,3,0.46,0.46,https://fbref.com/en/players/ffbbc83b/matchlogs/2024/summary/Florian-Grillitsch-Match-Logs,,,,,,,,,
154,Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-295,1995,2,1,115,1.3,0,0,0,0,0,0,0,4,0.6,0.6,6,0.00,13,,0.0,0.0,,,,,0.00,,,,https://fbref.com/en/players/b1f4086c/matchlogs/2024/summary/Alex-Grimaldo-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.47,
155,Pascal Groß,https://fbref.com/en/players/8aec0537/Pascal-Gross,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-026,1991,1,45,0.5,5,0,0,0,0,0,0,0,,2,,,,,,0.0,0,0.0,0.0,0.0,0,0.00,,,,https://fbref.com/en/players/8aec0537/matchlogs/2024/summary/Pascal-Gross-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07
156,Kamil Grosicki,https://fbref.com/en/players/81d8091f/Kamil-Grosicki,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,36-033,1988,1,16,0.2,0.3,0,0,0,0,0,0,0,0.3,0.3,1,,,,,0,0,0.0,0,,,0.00,,,,https://fbref.com/en/players/81d8091f/matchlogs/2024/summary/Kamil-Grosicki-Match-Logs,0.00,0.00,0.00,0.00,0.00,1.61,1.61,1.61,1.61
157,Nemanja Gudelj,https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,32-238,1991,2,2,90,1.0,0,0,0,0,0,0,0.0,,1,7,,0.00,0.00,0.00,0.0,0.0,0.0,0,,0,0.00,,,,https://fbref.com/en/players/0076ab7f/matchlogs/2024/summary/Nemanja-Gudelj-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
158,Marc Guéhi,https://fbref.com/en/players/d0706b27/Marc-Guehi,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-364,2000,5,5,480,5.3,0,0,0,0,0.0,0.00,0.03,3,1,1,2,0.01,0.1,0.2,0.0,0.01,0.03,0.03,0.19,0.00,17,1,0.19,0.19,https://fbref.com/en/players/d0706b27/matchlogs/2024/summary/Marc-Guehi-Match-Logs,,,,,,,,,
159,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,GK,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/summary/Peter-Gulacsi-Match-Logs,,,,,,,,,
160,Arda Güler,https://fbref.com/en/players/3741ca58/Arda-Guler,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,19-137,2005,5,4,340,3.8,0.07,0,0,0.43,0.07,0.43,0.36,1,2,3,1,0.3,1,0.3,0.26,0.79,0.79,0.26,0.53,9,1.4,1.6,20,18,https://fbref.com/en/players/3741ca58/matchlogs/2024/summary/Arda-Guler-Match-Logs,,,,,,,,,
161,İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-261,1990,5,5,383,4.3,0.18,0,0,0,0.23,0.18,0.23,1,1,2,1,0.8,0.8,0.2,0.23,0.05,0.23,0.47,0.47,4,1.0,21,26,0.23,https://fbref.com/en/players/819b3158/matchlogs/2024/summary/Ilkay-Gundogan-Match-Logs,,,,,,,,,
162,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,GK,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0,https://fbref.com/en/players/e082af5b/matchlogs/2024/summary/Angus-Gunn-Match-Logs,,,,,,,,,
163,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4,4,360,4.0,0,0,0,0,0,0,0.0,0.00,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b583aef5/matchlogs/2024/summary/Mert-Gunok-Match-Logs,,,,,,,,,
164,Joško Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,22-170,2002,3,3,270,3.0,0,0,0,0,0,0,0,0.1,0.1,0.1,15,3,8,0.03,0.00,0.0,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,https://fbref.com/en/players/5ad50391/matchlogs/2024/summary/Josko-Gvardiol-Match-Logs,,,,,,,,,
165,Giorgi Gwelesiani,https://fbref.com/en/players/48803de8/Giorgi-Gwelesiani,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,33-067,1991,3,2,162,1.8,0,0,0,0,0,0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/48803de8/matchlogs/2024/summary/Giorgi-Gwelesiani-Match-Logs,,,,,,,,,
166,Norbert Gyömbér,https://fbref.com/en/players/0be276c6/Norbert-Gyomber,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,32-008,1992,2,32,0.4,1,0,0,0,0,0,0,0,4,0.1,0.1,4,0.00,,,0.0,0.0,0,,,,0.00,,,,https://fbref.com/en/players/0be276c6/matchlogs/2024/summary/Norbert-Gyomber-Match-Logs,0.00,0.00,0.00,0.00,0.00,4.13,4.13,4.13,
167,Ianis Hagi,https://fbref.com/en/players/0127419a/Ianis-Hagi,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-263,1998,4,2,188,2.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,3,5,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,https://fbref.com/en/players/0127419a/matchlogs/2024/summary/Ianis-Hagi-Match-Logs,,,,,,,,,
168,Dávid Hancko,https://fbref.com/en/players/4fac8f81/David-Hancko,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-211,1997,4,4,366,4.1,0,0,0,0,0,0,0,0.2,0.2,0.3,20,6,14,0.01,0.00,0.0,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.00,https://fbref.com/en/players/4fac8f81/matchlogs/2024/summary/David-Hancko-Match-Logs,,,,,,,,,
