right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
370,Patrik Schick,https://fbref.com/en/players/5d4f7d61/Patrik-Schick,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,28-169,1996,1.4,21,33,262,61,19,14,6,2,4,0.1,0.1,1,-0.1,2,0,1,1,,,,0,0,,https://fbref.com/en/players/5d4f7d61/matchlogs/2024/passing/Patrik-Schick-Match-Logs,63.6,73.7,66.7,50.0
371,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/Nico-Schlotterbeck,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,24-223,1999,1.3,79,87,1286,649,40,37,36,8,35,0.4,+0.6,5,2,8,1,1,,,,,0.0,0,0,https://fbref.com/en/players/34e12499/matchlogs/2024/passing/Nico-Schlotterbeck-Match-Logs,90.8,92.5,97.2,62.5
372,Kasper Schmeichel,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,GK,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,37-249,1986,4.0,90,112,80.4,2476,1765,18,18,100.0,45,45,100.0,26,48,54.2,0,2,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2024/passing/Kasper-Schmeichel-Match-Logs,,,,
373,Romano Schmid,https://fbref.com/en/players/220ace7e/Romano-Schmid,"FW,MF",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-166,2000,1.6,56,73,825,169,35,34,23,8,15,0.7,0.8,4,-0.7,3,0,1,3,5,,,0,,,https://fbref.com/en/players/220ace7e/matchlogs/2024/passing/Romano-Schmid-Match-Logs,76.7,97.1,65.2,50.0
374,Jerdy Schouten,https://fbref.com/en/players/2cfae697/Jerdy-Schouten,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,27-181,1997,5.6,302,328,92.1,4830,1359,144,156,92.3,137,145,94.5,14,16,87.5,0,0.1,0.6,-0.1,3,33,39,1,2,https://fbref.com/en/players/2cfae697/matchlogs/2024/passing/Jerdy-Schouten-Match-Logs,,,,
375,Ivan Schranz,https://fbref.com/en/players/7e277e7c/Ivan-Schranz,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,30-302,1993,3.7,62,86,72.1,809,275,43,49,87.8,12,20,60.0,3,7,42.9,0,0.3,0.3,-0.3,3,6,0,6,2,https://fbref.com/en/players/7e277e7c/matchlogs/2024/passing/Ivan-Schranz-Match-Logs,,,,
376,Taulant Seferi,https://fbref.com/en/players/fdd6cad9/Taulant-Seferi,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,27-239,1996,1.0,17,26,227,68,14,8,10,1,8,0.1,0.1,0.0,-0.1,1,0,3,,,,,0,0,0,https://fbref.com/en/players/fdd6cad9/matchlogs/2024/passing/Taulant-Seferi-Match-Logs,65.4,57.1,80.0,0
377,Nicolas Seiwald,https://fbref.com/en/players/28c6e925/Nicolas-Seiwald,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-068,2001,4.0,205,235,87.2,3411,1082,95,103,92.2,94,103,91.3,13,20,65.0,0,0.6,0.6,-0.6,7,27,0,23,3,https://fbref.com/en/players/28c6e925/matchlogs/2024/passing/Nicolas-Seiwald-Match-Logs,,,,
378,Nélson Semedo,https://fbref.com/en/players/d04b94db/Nelson-Semedo,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-238,1993,1.1,50,56,698,120,33,32,20,1,17,3,4,1,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/d04b94db/matchlogs/2024/passing/Nelson-Semedo-Match-Logs,89.3,97.0,85.0,100.0
379,Benjamin Šeško,https://fbref.com/en/players/3260690c/Benjamin-Sesko,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,21-041,2003,4.0,43,71,60.6,566,116,25,39,64.1,16,20,80.0,,1,0.1,0,-0.1,2,9,7,0,0.0,0.0,0,https://fbref.com/en/players/3260690c/matchlogs/2024/passing/Benjamin-Sesko-Match-Logs,,,,0
380,Petr Ševčík,https://fbref.com/en/players/d4232ba9/Petr-Sevcik,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,30-068,1994,0.2,20,26,281,47,14,12,9,1,7,0.1,5,0.0,3,,0,,,,0,0,0.0,0.0,0,https://fbref.com/en/players/d4232ba9/matchlogs/2024/passing/Petr-Sevcik-Match-Logs,76.9,85.7,77.8,0
381,Stephan El Shaarawy,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,31-258,1992,0.5,8,10,86,6,2,5,1,0,2,,,0.0,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/d3aaad90/matchlogs/2024/passing/Stephan-El-Shaarawy-Match-Logs,80.0,83.3,100.0,0
382,Lawrence Shankland,https://fbref.com/en/players/63b1a176/Lawrence-Shankland,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-336,1995,0.3,5,11,110,45,6,2,2,1,2,0.1,1,1,2,1,0,2,,,,,0.0,0.0,0,https://fbref.com/en/players/63b1a176/matchlogs/2024/passing/Lawrence-Shankland-Match-Logs,45.5,33.3,100.0,100.0
383,Mykola Shaparenko,https://fbref.com/en/players/17e3e467/Mykola-Shaparenko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-281,1998,2.4,111,129,86.0,1991,496,44,48,91.7,58,63,92.1,8,13,61.5,1,0.2,0.4,+0.8,2,15,0,18,2,https://fbref.com/en/players/17e3e467/matchlogs/2024/passing/Mykola-Shaparenko-Match-Logs,,,,
384,Xherdan Shaqiri,https://fbref.com/en/players/6421ec64/Xherdan-Shaqiri,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-275,1991,0.8,26,38,401,111,18,15,11,8,10,1,3,1,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/6421ec64/matchlogs/2024/passing/Xherdan-Shaqiri-Match-Logs,68.4,83.3,90.9,12.5
