right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
477,Andriy Yarmolenko,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko,"FW,MF",ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,34-262,1989,1.2,34,49,505,131,27,22,16,5,10,0.3,1,1,2,6,0,,,,,0,0.0,0.0,0,https://fbref.com/en/players/849c826a/matchlogs/2024/passing/Andriy-Yarmolenko-Match-Logs,69.4,81.5,62.5,20.0
478,Yusuf Yazıcı,https://fbref.com/en/players/f5c8b425/Yusuf-Yazici,"MF,FW",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-164,1997,0.6,16,20,213,66,12,9,7,3,6,3,,,,,0,,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/f5c8b425/matchlogs/2024/passing/Yusuf-Yazici-Match-Logs,80.0,75.0,85.7,0
479,Kenan Yıldız,https://fbref.com/en/players/d8cda243/Kenan-Yildiz,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,19-068,2005,3.8,92,110,83.6,1272,234,52,62,83.9,36,39,92.3,1,3,33.3,0,0.1,0.4,-0.1,1,3,0,6,2,https://fbref.com/en/players/d8cda243/matchlogs/2024/passing/Kenan-Yildiz-Match-Logs,,,,
480,Okay Yokuşlu,https://fbref.com/en/players/e49ce451/Okay-Yokuslu,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-124,1994,0.6,26,28,487,119,11,10,13,3,12,1,2,3,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/e49ce451/matchlogs/2024/passing/Okay-Yokuslu-Match-Logs,92.9,90.9,92.3,100.0
481,İsmail Yüksek,https://fbref.com/en/players/6c5af908/Ismail-Yuksek,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-167,1999,1.7,91,99,91.9,1562,458,47,48,97.9,32,37,86.5,9,10,90.0,1,0.1,0.1,+0.9,3,9,0,4,1,https://fbref.com/en/players/6c5af908/matchlogs/2024/passing/Ismail-Yuksek-Match-Logs,,,,
482,Illia Zabarnyi,https://fbref.com/en/players/88968486/Illia-Zabarnyi,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,21-314,2002,3.0,172,200,86.0,3633,1194,48,50,96.0,108,115,93.9,16,33,48.5,0,0.1,-0.1,2,14,1,0.0,0,14,https://fbref.com/en/players/88968486/matchlogs/2024/passing/Illia-Zabarnyi-Match-Logs,,,,
483,Mattia Zaccagni,https://fbref.com/en/players/d85c238b/Mattia-Zaccagni,"MF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-025,1995,0.9,30,38,434,72,19,17,14,4,10,0.4,0.1,2,-0.4,2,0,1,1,3,,,0,,,https://fbref.com/en/players/d85c238b/matchlogs/2024/passing/Mattia-Zaccagni-Match-Logs,78.9,89.5,71.4,50.0
484,Denis Zakaria,https://fbref.com/en/players/384d58d9/Denis-Zakaria,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-234,1996,0.3,7,7,91,2,5,5,2,0,2,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/384d58d9/matchlogs/2024/passing/Denis-Zakaria-Match-Logs,100.0,100.0,100.0,0
485,Nicola Zalewski,https://fbref.com/en/players/45191c29/Nicola-Zalewski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,22-170,2002,2.7,73,100,73.0,1017,359,45,51,88.2,23,27,85.2,3,11,27.3,0,0.1,0.1,-0.1,1,4,14,1,3,https://fbref.com/en/players/45191c29/matchlogs/2024/passing/Nicola-Zalewski-Match-Logs,,,,
486,Piotr Zieliński,https://fbref.com/en/players/a5296e55/Piotr-Zielinski,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,30-052,1994,2.8,123,150,82.0,1715,680,70,77,90.9,36,41,87.8,10,18,55.6,1,0.4,0.4,+0.6,6,7,10,1,2,https://fbref.com/en/players/a5296e55/matchlogs/2024/passing/Piotr-Zielinski-Match-Logs,,,,
487,Oleksandr Zinchenko,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-209,1996,2.4,137,161,85.1,2350,737,69,75,92.0,58,70,82.9,9,13,69.2,1,0.2,0.2,+0.8,2,10,0,11,2,https://fbref.com/en/players/51cf8561/matchlogs/2024/passing/Oleksandr-Zinchenko-Match-Logs,,,,
488,Joshua Zirkzee,https://fbref.com/en/players/028e70b9/Joshua-Zirkzee,"FW,DF",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-050,2001,0.1,2,2,24,5,1,1,1,0,1,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/028e70b9/matchlogs/2024/passing/Joshua-Zirkzee-Match-Logs,100.0,100.0,100.0,0
489,Andrija Živković,https://fbref.com/en/players/321f83a2/Andrija-Zivkovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-000,1996,2.7,115,142,81.0,1892,612,59,62,95.2,43,52,82.7,10,15,66.7,0,0.7,0.6,-0.7,5,7,12,6,9,https://fbref.com/en/players/321f83a2/matchlogs/2024/passing/Andrija-Zivkovic-Match-Logs,,,,
490,Budu Zivzivadze,https://fbref.com/en/players/e3a72b89/Budu-Zivzivadze,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,30-123,1994,0.2,3,3,47,16,2,2,1,1,1,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/e3a72b89/matchlogs/2024/passing/Budu-Zivzivadze-Match-Logs,100.0,100.0,100.0,0
491,Steven Zuber,https://fbref.com/en/players/b6a6e0a7/Steven-Zuber,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-329,1991,0.9,32,35,512,202,23,22,7,3,7,1,3,3,2,1,0,2,,,,,0.0,0.0,0.0,https://fbref.com/en/players/b6a6e0a7/matchlogs/2024/passing/Steven-Zuber-Match-Logs,91.4,95.7,100.0,100.0
492,Martín Zubimendi,https://fbref.com/en/players/3ee0dd59/Martin-Zubimendi,MF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-160,1999,1.1,84,90,1479,371,34,34,45,9,41,8,15,8,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/3ee0dd59/matchlogs/2024/passing/Martin-Zubimendi-Match-Logs,93.3,100.0,91.1,88.9
493,Oleksandr Zubkov,https://fbref.com/en/players/adfbe1f5/Oleksandr-Zubkov,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-343,1996,0.3,6,10,99,37,4,3,4,1,3,1,2,,,,0,,,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/adfbe1f5/matchlogs/2024/passing/Oleksandr-Zubkov-Match-Logs,60.0,75.0,75.0,0
