right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
140,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,0.5,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/16daec92/matchlogs/2024/summary/Mijat-Gacinovic-Match-Logs,,2.00,16.3
141,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,5.8,1.1,13,8,61.5,2.24,1.38,0,0,0.23,0,,+1.9,3,0.38,15.9,+1.9,,https://fbref.com/en/players/1971591f/matchlogs/2024/summary/Cody-Gakpo-Match-Logs,1.1,0.08,
142,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,1.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/c2731c10/matchlogs/2024/summary/Conor-Gallagher-Match-Logs,0.0,,
143,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/527d0e31/matchlogs/2024/summary/Daniel-Gazdag-Match-Logs,0.0,,
144,Lutsharel Geertruida,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-359,2000,1.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/242e1043/matchlogs/2024/summary/Lutsharel-Geertruida-Match-Logs,0.0,,
145,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,23-030,2001,2.0,0,2,0.98,20.0,0.02,0.0,0,0.0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/df10e27c/matchlogs/2024/summary/Billy-Gilmour-Match-Logs,0,,
146,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,37-285,1986,0.7,0,2,12.0,0.2,0.08,,0,0.0,,0.00,0,0,0.2,0.00,0,-0.2,-0.2,https://fbref.com/en/players/16ceb862/matchlogs/2024/summary/Olivier-Giroud-Match-Logs,,3.05,
147,Klaus Gjasula,https://fbref.com/en/players/431c837b/Klaus-Gjasula,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-210,1989,0.2,0.3,2,1,50.0,0.50,1.00,0,0,18.0,0,,+0.7,1,0.3,0.15,+0.7,,https://fbref.com/en/players/431c837b/matchlogs/2024/summary/Klaus-Gjasula-Match-Logs,,9.47,4.74
148,Adam Gnezda Čerin,https://fbref.com/en/players/fe192f45/Adam-Gnezda-Cerin,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-361,1999,4.3,0,4,1,25.0,0.92,0.23,0.00,0.00,22.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,https://fbref.com/en/players/fe192f45/matchlogs/2024/summary/Adam-Gnezda-Cerin-Match-Logs,,,
149,Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-138,2001,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/2bd83368/matchlogs/2024/summary/Anthony-Gordon-Match-Logs,0.0,,
150,Jon Gorenc Stanković,https://fbref.com/en/players/9c74fa25/Jon-Gorenc-Stankovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-179,1996,1.0,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/9c74fa25/matchlogs/2024/summary/Jon-Gorenc-Stankovic-Match-Logs,0.0,0.96,21.2
151,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-084,1994,1.4,0.9,4,2,50.0,0.25,0.50,0,0,8.7,0,,+0.1,1,0.9,0.24,+0.1,,https://fbref.com/en/players/8e235926/matchlogs/2024/summary/Michael-Gregoritsch-Match-Logs,,2.86,1.43
152,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann,"MF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-112,1991,4.4,0,12,4,33.3,2.74,0.91,0.00,0.00,18.5,0,0,,2.0,1,2.0,-2.0,-2.0,https://fbref.com/en/players/df69b544/matchlogs/2024/summary/Antoine-Griezmann-Match-Logs,0.16,,
153,Florian Grillitsch,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-339,1995,2.2,0,5,2,40.0,2.32,0.93,0.00,0.00,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,https://fbref.com/en/players/ffbbc83b/matchlogs/2024/summary/Florian-Grillitsch-Match-Logs,,,
154,Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-295,1995,1.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/b1f4086c/matchlogs/2024/summary/Alex-Grimaldo-Match-Logs,0.0,,
155,Pascal Groß,https://fbref.com/en/players/8aec0537/Pascal-Gross,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-026,1991,0.5,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/8aec0537/matchlogs/2024/summary/Pascal-Gross-Match-Logs,0.0,2.00,23.5
156,Kamil Grosicki,https://fbref.com/en/players/81d8091f/Kamil-Grosicki,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,36-033,1988,0.2,0,1,0.3,,0.00,0.00,0,0,,0,0,,0.3,0.0,,-0.3,-0.3,https://fbref.com/en/players/81d8091f/matchlogs/2024/summary/Kamil-Grosicki-Match-Logs,,5.63,7.2
157,Nemanja Gudelj,https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,32-238,1991,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/0076ab7f/matchlogs/2024/summary/Nemanja-Gudelj-Match-Logs,0.0,,
158,Marc Guéhi,https://fbref.com/en/players/d0706b27/Marc-Guehi,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-364,2000,5.3,0,1,0.19,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/d0706b27/matchlogs/2024/summary/Marc-Guehi-Match-Logs,0.0,9.2,0.03
159,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,GK,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/summary/Peter-Gulacsi-Match-Logs,0,,
160,Arda Güler,https://fbref.com/en/players/3741ca58/Arda-Guler,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,19-137,2005,3.8,0.3,9,1,11.1,2.38,0.26,0,0,0.11,,0.03,+0.7,1,1.00,32.5,+0.7,,https://fbref.com/en/players/3741ca58/matchlogs/2024/summary/Arda-Guler-Match-Logs,1,0.3,
161,İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-261,1990,4.3,0.8,7,2,28.6,1.64,0.47,0,0,0.14,0,,+0.2,1,0.50,14.4,+0.2,,https://fbref.com/en/players/819b3158/matchlogs/2024/summary/Ilkay-Gundogan-Match-Logs,0.8,0.11,
162,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,GK,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/e082af5b/matchlogs/2024/summary/Angus-Gunn-Match-Logs,0,,
163,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/b583aef5/matchlogs/2024/summary/Mert-Gunok-Match-Logs,0,,
164,Joško Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,22-170,2002,3.0,0,2,0.67,15.4,0.1,0.05,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/5ad50391/matchlogs/2024/summary/Josko-Gvardiol-Match-Logs,0,,
165,Giorgi Gwelesiani,https://fbref.com/en/players/48803de8/Giorgi-Gwelesiani,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,33-067,1991,1.8,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/48803de8/matchlogs/2024/summary/Giorgi-Gwelesiani-Match-Logs,0,,
166,Norbert Gyömbér,https://fbref.com/en/players/0be276c6/Norbert-Gyomber,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,32-008,1992,0.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/0be276c6/matchlogs/2024/summary/Norbert-Gyomber-Match-Logs,0.0,,
167,Ianis Hagi,https://fbref.com/en/players/0127419a/Ianis-Hagi,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-263,1998,2.1,0,2,0.96,21.8,0.1,0.07,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/0127419a/matchlogs/2024/summary/Ianis-Hagi-Match-Logs,0,,
168,Dávid Hancko,https://fbref.com/en/players/4fac8f81/David-Hancko,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-211,1997,4.1,0,4,2,50.0,0.98,0.49,0.00,0.00,15.4,0,0,,0.2,1,0.2,-0.2,-0.2,https://fbref.com/en/players/4fac8f81/matchlogs/2024/summary/David-Hancko-Match-Logs,0.06,,
169,Grant Hanley,https://fbref.com/en/players/e9254eec/Grant-Hanley,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-234,1991,2.5,0,1,0.40,0.2,0.00,,0,0.00,,0,0,0,0.2,0.0,,-0.2,-0.2,https://fbref.com/en/players/e9254eec/matchlogs/2024/summary/Grant-Hanley-Match-Logs,,5.6,0.23
170,Lukáš Haraslín,https://fbref.com/en/players/5c397195/Lukas-Haraslin,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-046,1996,2.9,0,8,4,50.0,2.73,1.36,0.00,0.00,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,https://fbref.com/en/players/5c397195/matchlogs/2024/summary/Lukas-Haraslin-Match-Logs,,,
171,Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz,"FW,MF",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,25-030,1999,4.3,4.1,17,9,52.9,3.93,2.08,0.00,0.00,14.6,,0.15,,2,1,2,-2.1,-2.5,https://fbref.com/en/players/fed7cb61/matchlogs/2024/summary/Kai-Havertz-Match-Logs,2,2.5,
172,Jack Hendry,https://fbref.com/en/players/ffed43e3/Jack-Hendry,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-065,1995,2.9,0,1,0.34,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ffed43e3/matchlogs/2024/summary/Jack-Hendry-Match-Logs,0.0,13.1,0.03
173,Benjamin Henrichs,https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-139,1997,0.1,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/0a89e877/matchlogs/2024/summary/Benjamin-Henrichs-Match-Logs,0.0,9.00,25.2
174,Theo Hernández,https://fbref.com/en/players/d4c9725f/Theo-Hernandez,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,26-279,1997,6.3,0,4,2,50.0,0.63,0.32,0.00,0.00,16.3,0,0,0,0.4,0.4,0.10,-0.4,-0.4,https://fbref.com/en/players/d4c9725f/matchlogs/2024/summary/Theo-Hernandez-Match-Logs,,,
175,Morten Hjulmand,https://fbref.com/en/players/d4456fb3/Morten-Hjulmand,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-016,1999,2.7,0.1,5,2,40.0,1.84,0.73,0,0,0.20,0,,+0.9,1,0.50,29.3,+0.9,,https://fbref.com/en/players/d4456fb3/matchlogs/2024/summary/Morten-Hjulmand-Match-Logs,0.1,0.03,
176,Adam Hložek,https://fbref.com/en/players/5521f419/Adam-Hlozek,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,21-352,2002,1.2,0,4,4,100.0,16.0,0.5,0.00,0.00,0.14,0,0,0,0.5,,,-0.5,-0.5,https://fbref.com/en/players/5521f419/matchlogs/2024/summary/Adam-Hlozek-Match-Logs,,3.33,3.33
177,Tomáš Holeš,https://fbref.com/en/players/e03c2d97/Tomas-Holes,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-102,1993,3.0,0,1,0.33,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e03c2d97/matchlogs/2024/summary/Tomas-Holes-Match-Logs,0.0,32.1,0.02
178,Arbër Hoxha,https://fbref.com/en/players/e210a2c7/Arber-Hoxha,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-279,1998,0.6,0,2,1,50.0,18.5,0.1,0.00,0.00,0.05,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/e210a2c7/matchlogs/2024/summary/Arber-Hoxha-Match-Logs,,3.60,1.80
179,Robin Hranáč,https://fbref.com/en/players/95d5aea2/Robin-Hranac,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-164,2000,3.0,0,2,0.67,9.8,0.3,0.16,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/95d5aea2/matchlogs/2024/summary/Robin-Hranac-Match-Logs,0,,
180,Elseid Hysaj,https://fbref.com/en/players/2f3452eb/Elseid-Hysaj,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-142,1994,2.0,0,2,1.00,21.3,0.1,0.04,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/2f3452eb/matchlogs/2024/summary/Elseid-Hysaj-Match-Logs,0,,
181,Pierre Højbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-341,1995,3.9,0,7,4,57.1,1.78,1.02,0.00,0.00,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,https://fbref.com/en/players/8b04d6c1/matchlogs/2024/summary/Pierre-Hojbjerg-Match-Logs,,,
182,Rasmus Højlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-158,2003,3.2,0,6,4,66.7,1.89,1.26,0.00,0.00,13.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,https://fbref.com/en/players/491a433d/matchlogs/2024/summary/Rasmus-Hojlund-Match-Logs,,,
183,Ivan Ilić,https://fbref.com/en/players/bb376bed/Ivan-Ilic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,23-116,2001,2.2,0,2,0.90,26.6,0.02,0.0,0,0.0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/bb376bed/matchlogs/2024/summary/Ivan-Ilic-Match-Logs,0,,
184,Josip Iličić,https://fbref.com/en/players/68252d6d/Josip-Ilicic,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,36-164,1988,0.3,0,1,1,,0.00,0.00,0,0,,0,0.0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/68252d6d/matchlogs/2024/summary/Josip-Ilicic-Match-Logs,,2.90,27.4
185,Gonçalo Inácio,https://fbref.com/en/players/33651873/Goncalo-Inacio,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,22-321,2001,1.3,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/33651873/matchlogs/2024/summary/Goncalo-Inacio-Match-Logs,,0.76,9.5
186,Luka Ivanušec,https://fbref.com/en/players/29fbdc88/Luka-Ivanusec,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,25-228,1998,0.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/29fbdc88/matchlogs/2024/summary/Luka-Ivanusec-Match-Logs,0.0,,
187,Erik Janža,https://fbref.com/en/players/961f9f1c/Erik-Janza,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-020,1993,3.0,0.0,3,1,33.3,1.00,0.33,0,0,0.33,0,0.0,+1.0,1,1.00,27.2,+1.0,,https://fbref.com/en/players/961f9f1c/matchlogs/2024/summary/Erik-Janza-Match-Logs,0.01,,
188,Jorginho,https://fbref.com/en/players/45db685d/Jorginho,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,32-204,1991,2.4,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/45db685d/matchlogs/2024/summary/Jorginho-Match-Logs,0,,
189,Joselu,https://fbref.com/en/players/6265208f/Joselu,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,34-106,1990,1.0,0,3,12.6,0.2,0.06,,0,0.0,,0.00,0,0,0.2,0.00,0,-0.2,-0.2,https://fbref.com/en/players/6265208f/matchlogs/2024/summary/Joselu-Match-Logs,,3.00,
190,Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-220,1996,1.1,0,2,1,50.0,8.6,0.7,0.00,0.00,0.33,0,0,0,0.7,,,-0.7,-0.7,https://fbref.com/en/players/178ae8f8/matchlogs/2024/summary/Diogo-Jota-Match-Logs,,1.80,0.90
191,Luka Jović,https://fbref.com/en/players/4d8cd038/Luka-Jovic,"MF,FW",rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-201,1997,1.1,0.2,1,1,1.00,0.2,6.0,0,0,0.19,0,,+0.8,1,,,+0.8,,https://fbref.com/en/players/4d8cd038/matchlogs/2024/summary/Luka-Jovic-Match-Logs,,100.0,0.88
192,Josip Juranović,https://fbref.com/en/players/0a084b35/Josip-Juranovic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,28-330,1995,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/0a084b35/matchlogs/2024/summary/Josip-Juranovic-Match-Logs,0.0,,
193,David Jurásek,https://fbref.com/en/players/d7a03bf3/David-Jurasek,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-339,2000,1.8,0,4,2,50.0,2.25,1.13,0.00,0.00,25.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,https://fbref.com/en/players/d7a03bf3/matchlogs/2024/summary/David-Jurasek-Match-Logs,,,
194,Matěj Jurásek,https://fbref.com/en/players/742ea558/Matej-Jurasek,"DF,MF",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,20-316,2003,0.5,0,4,2,50.0,25.7,0.1,0.00,0.00,0.02,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/742ea558/matchlogs/2024/summary/Matej-Jurasek-Match-Logs,,7.83,3.91
195,Ferdi Kadioglu,https://fbref.com/en/players/66c52a77/Ferdi-Kadioglu,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-278,1999,5.0,0,2,0.40,29.3,0.1,0.03,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/66c52a77/matchlogs/2024/summary/Ferdi-Kadioglu-Match-Logs,0,,
196,İrfan Kahveci,https://fbref.com/en/players/d2800f47/Irfan-Kahveci,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,28-362,1995,0.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/d2800f47/matchlogs/2024/summary/Irfan-Kahveci-Match-Logs,0.0,,
197,Otar Kakabadze,https://fbref.com/en/players/2ea12fc4/Otar-Kakabadze,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-014,1995,4.0,0,1,0.25,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/2ea12fc4/matchlogs/2024/summary/Otar-Kakabadze-Match-Logs,0.0,22.3,0.02
198,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-349,1993,6.0,2.8,16,5,31.3,2.66,0.83,0,0.0,0.13,0.13,2.0,+0.2,3,0.40,15.8,,,https://fbref.com/en/players/21a66f6a/matchlogs/2024/summary/Harry-Kane-Match-Logs,1,1,
199,N'Golo Kanté,https://fbref.com/en/players/b9fbae28/NGolo-Kante,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-104,1991,5.7,0,5,2,40.0,0.88,0.35,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,https://fbref.com/en/players/b9fbae28/matchlogs/2024/summary/NGolo-Kante-Match-Logs,,,
200,Žan Karničnik,https://fbref.com/en/players/b11b006c/Zan-Karnicnik,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-297,1994,4.3,0.5,3,1,33.3,0.69,0.23,0,0,0.33,0,,+0.5,1,1.00,21.3,+0.5,,https://fbref.com/en/players/b11b006c/matchlogs/2024/summary/Zan-Karnicnik-Match-Logs,0.5,0.18,
201,Guram Kashia,https://fbref.com/en/players/a81f4896/Guram-Kashia,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,37-007,1987,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/a81f4896/matchlogs/2024/summary/Guram-Kashia-Match-Logs,0,,
202,Milos Kerkez,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,20-247,2003,2.6,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/0ad53bdc/matchlogs/2024/summary/Milos-Kerkez-Match-Logs,0,,
203,Semih Kılıçsoy,https://fbref.com/en/players/3064f033/Semih-Kilicsoy,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,18-331,2005,1,0,1,0.2,,,0.21,0.0,0.00,,0,0,0,0.2,0.00,,-0.2,-0.2,https://fbref.com/en/players/3064f033/matchlogs/2024/summary/Semih-Kilicsoy-Match-Logs,,100.0,45.00
204,Joshua Kimmich,https://fbref.com/en/players/49296448/Joshua-Kimmich,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-154,1995,5.3,0,7,2,28.6,1.31,0.37,0.00,0.00,25.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,https://fbref.com/en/players/49296448/matchlogs/2024/summary/Joshua-Kimmich-Match-Logs,,,
205,Otar Kiteishvili,https://fbref.com/en/players/fc9b373e/Otar-Kiteishvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,28-107,1996,1.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/fc9b373e/matchlogs/2024/summary/Otar-Kiteishvili-Match-Logs,0.0,,
206,Jakub Kiwior,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-147,2000,3.0,0,2,2,100.0,0.67,0.67,0.00,0.00,14.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,https://fbref.com/en/players/dc3e663e/matchlogs/2024/summary/Jakub-Kiwior-Match-Logs,,,
207,László Kleinheisler,https://fbref.com/en/players/af8e4246/Laszlo-Kleinheisler,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,30-094,1994,0.6,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/af8e4246/matchlogs/2024/summary/Laszlo-Kleinheisler-Match-Logs,0.0,,
208,Giorgi Kochorashvili,https://fbref.com/en/players/3da1b6ed/Giorgi-Kochorashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,25-012,1999,4.0,0,5,1.25,25.7,0.3,0.07,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/3da1b6ed/matchlogs/2024/summary/Giorgi-Kochorashvili-Match-Logs,0,,
209,Orkun Kökçü,https://fbref.com/en/players/9bf914b4/Orkun-Kokcu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,23-195,2000,2.5,0,6,2,33.3,2.44,0.81,0.00,0.00,26.2,0,0,0,1.0,1.0,0.16,-1.0,-1.0,https://fbref.com/en/players/9bf914b4/matchlogs/2024/summary/Orkun-Kokcu-Match-Logs,,,
