right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
26,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/1a787ee8/matchlogs/2024/summary/Jure-Balkovec-Match-Logs,0.0,,
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/cee88597/matchlogs/2024/summary/Ivan-Balliu-Match-Logs,0.0,,
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/99847dc0/matchlogs/2024/summary/Nicusor-Bancu-Match-Logs,0,,
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,0.5,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/01efac19/matchlogs/2024/summary/Antonin-Barak-Match-Logs,0.0,,
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,1.1,0,2,1,50.0,9.9,0.1,0.00,0.00,0.07,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/a0d55a09/matchlogs/2024/summary/Bradley-Barcola-Match-Logs,,1.75,0.87
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4.0,0,2,0.50,8.9,0.3,0.13,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/5d9cff53/matchlogs/2024/summary/Abdulkerim-Bardakci-Match-Logs,0,,
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,3.7,0.1,1,1,0.27,0.27,1.00,0,0,0.1,0,,+0.9,1,,,+0.9,,https://fbref.com/en/players/6928979a/matchlogs/2024/summary/Nicolo-Barella-Match-Logs,,100.0,1.00
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4.0,0.5,3,2,66.7,0.75,0.50,0,0,0.33,0,,+0.5,1,0.50,6.4,+0.5,,https://fbref.com/en/players/75b86fb3/matchlogs/2024/summary/Alessandro-Bastoni-Match-Logs,0.5,0.17,
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0.1,0,1,1,0.1,,0.07,0.00,0,,0,0,,0.1,0.00,,-0.1,-0.1,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/summary/Martin-Baturina-Match-Logs,,100.0,12.86
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,3.2,1.8,8,4,50.0,2.49,1.25,0,0,0.13,0,,,1,0.25,11.5,-0.8,-0.8,https://fbref.com/en/players/437f2b00/matchlogs/2024/summary/Christoph-Baumgartner-Match-Logs,1.8,0.22,
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/072e68ed/matchlogs/2024/summary/Altay-Bayindir-Match-Logs,0.0,,
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3.0,0,1,0.33,0.2,0.00,,0,0.00,,0,0,0,0.2,0.0,,-0.2,-0.2,https://fbref.com/en/players/4115ce4e/matchlogs/2024/summary/Jan-Bednarek-Match-Logs,,11.5,0.16
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/5db45ee5/matchlogs/2024/summary/Maximilian-Beier-Match-Logs,0.0,,
39,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,6.4,0.6,5,3,60.0,0.78,0.47,0,0,0.40,0,,+1.4,2,0.67,12.0,+1.4,,https://fbref.com/en/players/57d88cf9/matchlogs/2024/summary/Jude-Bellingham-Match-Logs,0.6,0.12,
40,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,0.8,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/fe888e39/matchlogs/2024/summary/Laszlo-Benes-Match-Logs,,1.27,16.3
41,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,0.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/61b3978f/matchlogs/2024/summary/Bartosz-Bereszynski-Match-Logs,0.0,,
42,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,1.0,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/a29b1131/matchlogs/2024/summary/Steven-Bergwijn-Match-Logs,0.0,1.00,31.7
43,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,0.2,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/9d376bef/matchlogs/2024/summary/Medon-Berisha-Match-Logs,0.0,4.29,26.6
44,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,1.7,0,1,0.58,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/505486d6/matchlogs/2024/summary/Victor-Bernth-Kristiansen-Match-Logs,0.0,20.2,0.03
