right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
25,Srđan Babić,https://fbref.com/en/players/075fe5a3/Srdjan-Babic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-080,1996,0,0,0,0,3,https://fbref.com/en/players/075fe5a3/matchlogs/2024/summary/Srdjan-Babic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
26,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0,,0,2,27,https://fbref.com/en/players/518f2234/matchlogs/2024/summary/Alex-Baena-Match-Logs,14,0.3,4,2,0.2,0,0.4,,,,,+0.2,,4.7,14,,-1.66,0,-0.23,,3.00,+0.52
27,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.9,0.75,0,4,281,https://fbref.com/en/players/78f21137/matchlogs/2024/summary/Alexander-Bah-Match-Logs,70,78.1,3.1,3,82,,1,1,34,-2,-0.64,+0.4,1,-0.64,+1.09,+0.12,3,,3.5,,,
28,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,0,1.9,0,3,245,https://fbref.com/en/players/f42d6c13/matchlogs/2024/summary/Nedim-Bajrami-Match-Logs,82,90.7,2.7,3,82,,0.33,1,3,-2,-0.73,-2.20,5,-0.73,-3.5,-1.28,5.4,,,,,
29,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0,,0,2,48,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/summary/Johan-Bakayoko-Match-Logs,24,0.5,2,2,0.6,0,1.1,,,,0.00,+0.5,,13.3,24,,,0,,+0.81,0.50,+0.98
30,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1,0.6,0,2,121,https://fbref.com/en/players/1a787ee8/matchlogs/2024/summary/Jure-Balkovec-Match-Logs,61,1.3,1,1,2,0,1,2.0,,-1.4,0.00,,,31.0,120,,-1.41,0,-0.98,,1.00,
31,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,0,,0,1,90,https://fbref.com/en/players/cee88597/matchlogs/2024/summary/Ivan-Balliu-Match-Logs,90,1.0,1,1,2,,0.5,1,1.5,-1,-1.0,,,33.3,90,0.00,-1.00,,-0.50,-1.02,,+0.07
32,Botond Balogh,https://fbref.com/en/players/348bafd4/Botond-Balogh,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-035,2002,0,0,0,0,3,https://fbref.com/en/players/348bafd4/matchlogs/2024/summary/Botond-Balogh-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
33,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,0,3.2,0,3,270,https://fbref.com/en/players/99847dc0/matchlogs/2024/summary/Nicusor-Bancu-Match-Logs,90,75.0,3.0,3,90,,1.33,3,4,-0.1,-0.04,+1,3,+2.48,+3.33,+0.33,3.3,,,,,
34,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,11,0.5,0,3,41,https://fbref.com/en/players/01efac19/matchlogs/2024/summary/Antonin-Barak-Match-Logs,14,0.5,1,1,1.0,0,2,,,-1,-0.4,-1.42,,15.2,19,,-2.20,0,-1.80,-0.96,0.33,
