right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
307,Luka Lochoshvili,https://fbref.com/en/players/c8ad0857/Luka-Lochoshvili,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,26-043,1998,2.2,1.00,0,4,170,https://fbref.com/en/players/c8ad0857/matchlogs/2024/summary/Luka-Lochoshvili-Match-Logs,43,47.2,1.9,2,62,0,2,23,3,-1.7,-0.92,+1.42,3,,,+1.54,3.9,0,,,,
308,Fermin López,https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez,MF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,21-061,2003,0,,0,1,29,https://fbref.com/en/players/c1fe5f0b/matchlogs/2024/summary/Fermin-Lopez-Match-Logs,29,0.3,5,1,0.4,0,0.2,,,-0.2,,,,5.1,29,,-1.66,0,-0.53,-1.35,3.00,
309,Giorgi Loria,https://fbref.com/en/players/d0342ca5/Giorgi-Loria,GK,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,38-166,1986,0,0,0,0,3,https://fbref.com/en/players/d0342ca5/matchlogs/2024/summary/Giorgi-Loria-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
310,Sandi Lovrić,https://fbref.com/en/players/966eea58/Sandi-Lovric,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-105,1998,0,0,0,0,4,https://fbref.com/en/players/966eea58/matchlogs/2024/summary/Sandi-Lovric-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
311,Romelu Lukaku,https://fbref.com/en/players/5eae500a/Romelu-Lukaku,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,31-059,1993,0,4.4,0,4,359,https://fbref.com/en/players/5eae500a/matchlogs/2024/summary/Romelu-Lukaku-Match-Logs,90,99.7,4.0,4,90,0,1.00,3,2,,,+1.3,2,,+17.13,+0.32,3.2,0.00,,,,
312,Dodi Lukebakio,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-291,1997,5,0.9,0,3,65,https://fbref.com/en/players/0c61c77c/matchlogs/2024/summary/Dodi-Lukebakio-Match-Logs,22,0.7,1,1,0.4,0,2,,,+0.40,+0.60,+1,,18.1,55,+0.4,,0,,+1.69,1.00,+1.38
313,Saša Lukić,https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,27-333,1996,0,1.2,0,3,209,https://fbref.com/en/players/c6e8cf1f/matchlogs/2024/summary/Sasa-Lukic-Match-Logs,70,77.4,2.3,3,70,0,0.67,1,1.8,-1,-0.43,-0.62,,-0.43,-0.7,-0.29,,0,,,,
314,Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,GK,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-151,1999,0,,0,1,90,https://fbref.com/en/players/3061e1ec/matchlogs/2024/summary/Andriy-Lunin-Match-Logs,90,1.0,1,1,2,,0.7,3,1.1,-3,-0.3,-0.62,,33.3,90,0.00,-3.00,,-3.50,-0.34,,
315,Ian Maatsen,https://fbref.com/en/players/cab9634e/Ian-Maatsen,"DF,MF",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-123,2002,0,0,0,0,5,https://fbref.com/en/players/cab9634e/matchlogs/2024/summary/Ian-Maatsen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
316,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,GK,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-008,1995,0,9.0,0,6,570,https://fbref.com/en/players/fcb38f57/matchlogs/2024/summary/Mike-Maignan-Match-Logs,95,100.0,6.3,6,95,,1.50,6,4,,+0.63,+1,3,+0.63,+3.8,+0.16,5.2,,,,,
317,Kobbie Mainoo,https://fbref.com/en/players/c6220452/Kobbie-Mainoo,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,19-083,2005,2.7,2.20,0,5,299,https://fbref.com/en/players/c6220452/matchlogs/2024/summary/Kobbie-Mainoo-Match-Logs,60,49.8,3.3,3,83,,2,25,1,-1,-0.30,-0.14,2,-1.50,-0.1,-0.03,3,,2.8,,,
318,Lovro Majer,https://fbref.com/en/players/fc46aab1/Lovro-Majer,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-176,1998,11,2.4,0,3,146,https://fbref.com/en/players/fc46aab1/matchlogs/2024/summary/Lovro-Majer-Match-Logs,49,1.6,1,2,5,0,1,3.0,,-5,-0.6,-1.81,,54.1,68,,-3.08,,-4.53,-0.40,0.67,
319,Nemanja Maksimović,https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-167,1995,0,0,0,0,3,https://fbref.com/en/players/00b28772/matchlogs/2024/summary/Nemanja-Maksimovic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
320,Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-184,1999,4.2,1.50,0,4,190,https://fbref.com/en/players/116c35df/matchlogs/2024/summary/Donyell-Malen-Match-Logs,48,35.2,2.1,2,58,,2,37,2,+0.58,+0.64,+2,5,+1.3,+0.69,+0.95,3,,2.8,,,
321,Ruslan Malinovskyi,https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,31-068,1993,0,,0,3,35,https://fbref.com/en/players/48d5bd33/matchlogs/2024/summary/Ruslan-Malinovskyi-Match-Logs,12,0.4,0.4,3,,0,0.8,0,,,+1.27,+0.5,,13.0,12,,,0,,+1.18,1.33,+0.77
322,Giorgi Mamardashvili,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,GK,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-286,2000,0,4.4,0,4,360,https://fbref.com/en/players/d4b73232/matchlogs/2024/summary/Giorgi-Mamardashvili-Match-Logs,90,100.0,4.0,4,90,,1.00,4,5,-3,-0.75,,8,-6.9,-1.74,,11.3,,,,,
323,Dennis Man,https://fbref.com/en/players/2079b3cc/Dennis-Man,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-320,1998,2.3,1.00,0,4,266,https://fbref.com/en/players/2079b3cc/matchlogs/2024/summary/Dennis-Man-Match-Logs,67,73.9,3.0,3,80,,1,2,25,-2,-0.68,-0.72,3,-0.68,-2.5,-0.85,5,,4.8,,,
324,Rey Manaj,https://fbref.com/en/players/7703afb6/Rey-Manaj,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,27-138,1997,1.3,0.33,0,3,156,https://fbref.com/en/players/7703afb6/matchlogs/2024/summary/Rey-Manaj-Match-Logs,52,57.8,1.7,2,71,0,1,14,1,-2,-1.15,-0.69,3,-1.15,-2.4,-1.37,3.7,,,,,
325,Gianluca Mancini,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,28-085,1996,0,,0,1,90,https://fbref.com/en/players/5aa53281/matchlogs/2024/summary/Gianluca-Mancini-Match-Logs,90,1.0,1,1,3,,0.7,2,1.2,-2,-0.5,-0.24,,25.0,90,0.00,-2.00,,-2.00,-0.52,,
326,Orel Mangala,https://fbref.com/en/players/a572e291/Orel-Mangala,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-115,1998,26,1.7,0,4,133,https://fbref.com/en/players/a572e291/matchlogs/2024/summary/Orel-Mangala-Match-Logs,33,1.5,1,1,2,0,3,1.6,,-1,,+0.1,,36.9,56,,-0.68,,-1.07,-0.36,1.00,+0.05
327,Marius Marin,https://fbref.com/en/players/a5106847/Marius-Marin,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-316,1998,0,3.0,0,4,302,https://fbref.com/en/players/a5106847/matchlogs/2024/summary/Marius-Marin-Match-Logs,76,83.9,3.4,4,76,,1.00,1,4,-1.1,-0.32,+1,3,+2.10,+4.95,+0.30,4.1,,,,,
328,Răzvan Marin,https://fbref.com/en/players/7fac99d4/Razvan-Marin,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,28-049,1996,0,3.5,0,4,355,https://fbref.com/en/players/7fac99d4/matchlogs/2024/summary/Razvan-Marin-Match-Logs,89,98.6,3.9,4,89,,1.00,3,4,-2,-0.51,-0.67,6,-0.51,-2.6,-0.67,6.1,,,,,
329,Ádám Martin,https://fbref.com/en/players/9b8f61bd/Adam-Martin,"FW,DF",hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-248,1994,0,,0,3,45,https://fbref.com/en/players/9b8f61bd/matchlogs/2024/summary/Adam-Martin-Match-Logs,15,0.5,1,3,1,0,1.1,1.2,,-0.1,,,,16.7,15,,-0.29,0,-0.26,,1.00,+1.20
330,Mykola Matviyenko,https://fbref.com/en/players/1adcf39e/Mykola-Matviyenko,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,28-070,1996,0,3.0,0,3,270,https://fbref.com/en/players/1adcf39e/matchlogs/2024/summary/Mykola-Matviyenko-Match-Logs,90,100.0,3.0,3,90,,1.33,3,2,-2,-0.67,+0.2,4,,,+0.07,2.8,,,,,
331,Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-204,1998,0,7.3,,5,464,https://fbref.com/en/players/42fd9c7f/matchlogs/2024/summary/Kylian-Mbappe-Match-Logs,93,81.4,5.2,5,93,,1.60,3,1,-0.29,+0.54,+1,4,+2.8,+0.19,+0.19,3,,4.5,,,
332,Ross McCrorie,https://fbref.com/en/players/94d628b1/Ross-McCrorie,"DF,GK",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,26-115,1998,0,0,0,0,3,https://fbref.com/en/players/94d628b1/matchlogs/2024/summary/Ross-McCrorie-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
333,John McGinn,https://fbref.com/en/players/90f91999/John-McGinn,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-267,1994,0,0.7,0,3,230,https://fbref.com/en/players/90f91999/matchlogs/2024/summary/John-McGinn-Match-Logs,77,85.2,2.6,3,77,0,0.33,1,4,-3,-1.17,+3.33,3.3,-2.6,-1.01,+1.03,,,,,,
334,Callum McGregor,https://fbref.com/en/players/6800f515/Callum-McGregor,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,31-027,1993,0,0.9,0,3,246,https://fbref.com/en/players/6800f515/matchlogs/2024/summary/Callum-McGregor-Match-Logs,82,91.1,2.7,3,82,,0.33,2,1,-4,-1.46,+2.29,5,-3.2,-1.17,-0.10,4.1,,,,,
335,Scott McKenna,https://fbref.com/en/players/4e5a4cbc/Scott-McKenna,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-242,1996,22,0.7,0,3,134,https://fbref.com/en/players/4e5a4cbc/matchlogs/2024/summary/Scott-McKenna-Match-Logs,45,1.5,1,1,1,,2,2,1.6,-1,-0.9,,,49.6,90,,-0.67,,-0.60,+1.12,0.33,+1.98
336,Kenny McLean,https://fbref.com/en/players/471f16b3/Kenny-McLean,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-185,1992,0,,0,3,44,https://fbref.com/en/players/471f16b3/matchlogs/2024/summary/Kenny-McLean-Match-Logs,15,0.5,1,3,3,0,0.4,1.3,,-2,-0.9,-0.76,,16.3,15,,-4.09,,-2.90,-1.80,0.33,
337,Scott McTominay,https://fbref.com/en/players/d93c2511/Scott-McTominay,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-216,1996,0,0.9,0,3,270,https://fbref.com/en/players/d93c2511/matchlogs/2024/summary/Scott-McTominay-Match-Logs,90,100.0,3.0,3,90,,0.33,3,2,-5,-1.67,,7,-3.5,-1.16,,4.4,,,,,
338,Anzor Mekvabishvili,https://fbref.com/en/players/6a7cd360/Anzor-Mekvabishvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-036,2001,2.3,1.33,0,3,188,https://fbref.com/en/players/6a7cd360/matchlogs/2024/summary/Anzor-Mekvabishvili-Match-Logs,63,52.2,2.1,2,89,,1,1,10,-1,-0.48,+0.57,2,-4.1,-1.96,-0.46,3,,6.4,,,
339,Memphis,https://fbref.com/en/players/8f696594/Memphis,"FW,MF",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,30-149,1994,0,7.0,0,6,457,https://fbref.com/en/players/8f696594/matchlogs/2024/summary/Memphis-Match-Logs,76,84.6,5.1,6,76,,1.67,1,8,-0.69,+0.34,+2,6,+0.31,+1.6,+0.39,5.4,,,,,
340,Nuno Mendes,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,22-022,2002,0,6.8,,4,419,https://fbref.com/en/players/f20e4cc9/matchlogs/2024/summary/Nuno-Mendes-Match-Logs,105,82.2,4.7,4,105,,2.00,3,1,+0.35,+0.99,+3,4,+3.9,+1.63,+0.64,1,,2.8,,,
341,Ferland Mendy,https://fbref.com/en/players/3cefcaef/Ferland-Mendy,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-033,1995,0,0,0,0,6,https://fbref.com/en/players/3cefcaef/matchlogs/2024/summary/Ferland-Mendy-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
342,Alex Meret,https://fbref.com/en/players/9413b19f/Alex-Meret,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-111,1997,0,0,0,0,4,https://fbref.com/en/players/9413b19f/matchlogs/2024/summary/Alex-Meret-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
343,Mikel Merino,https://fbref.com/en/players/d080ed5e/Mikel-Merino,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-019,1996,3.0,3.00,0,6,180,https://fbref.com/en/players/d080ed5e/matchlogs/2024/summary/Mikel-Merino-Match-Logs,30,31.6,2.0,1,90,,5,1,18,-0.85,-0.77,+2,3,+0.18,+0.3,+1.00,1,,2.7,,,
344,Valentin Mihaila,https://fbref.com/en/players/81a4c239/Valentin-Mihaila,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,24-160,2000,24,0.5,0,3,115,https://fbref.com/en/players/81a4c239/matchlogs/2024/summary/Valentin-Mihaila-Match-Logs,38,1.3,1,1,3,0,2,2.8,,-3,-2.3,-1.72,,31.9,67,,-2.35,,-2.72,-1.83,1.00,
345,Enea Mihaj,https://fbref.com/en/players/29c28f01/Enea-Mihaj,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-006,1998,0,0,0,0,3,https://fbref.com/en/players/29c28f01/matchlogs/2024/summary/Enea-Mihaj-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
346,Srđan Mijailović,https://fbref.com/en/players/175bef1f/Srdjan-Mijailovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,30-244,1993,0,,0,1,72,https://fbref.com/en/players/175bef1f/matchlogs/2024/summary/Srdjan-Mijailovic-Match-Logs,72,0.8,2,1,0.7,0,0.1,,,-0.6,,,,26.7,72,,-0.76,0,-0.83,,1.00,+0.45
347,Georges Mikautadze,https://fbref.com/en/players/4788cb6b/Georges-Mikautadze,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-254,2000,0,4.2,0,4,345,https://fbref.com/en/players/4788cb6b/matchlogs/2024/summary/Georges-Mikautadze-Match-Logs,86,95.8,3.8,4,86,,1.00,2,5,-2,-0.52,+5.48,7,-6.1,-1.60,+3.28,10.3,,,,,
348,Nikola Milenković,https://fbref.com/en/players/bee704fc/Nikola-Milenkovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-273,1997,0,2.1,0,3,270,https://fbref.com/en/players/bee704fc/matchlogs/2024/summary/Nikola-Milenkovic-Match-Logs,90,100.0,3.0,3,90,,0.67,3,1,-1,-0.33,,2,-0.5,-0.15,,2.6,,,,,
349,Sergej Milinković-Savić,https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-135,1995,16,1.0,0,3,121,https://fbref.com/en/players/4e6dbac4/matchlogs/2024/summary/Sergej-Milinkovic-Savic-Match-Logs,40,1.3,1,1,1,0.0,2,2,1.0,-1,,,,44.8,90,,-0.74,,-0.74,-0.02,0.67,+0.25
350,Vanja Milinković-Savić,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,GK,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,27-142,1997,0,0,0,0,3,https://fbref.com/en/players/9fa26bc2/matchlogs/2024/summary/Vanja-Milinkovic-Savic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
351,Mario Mitaj,https://fbref.com/en/players/0bf123b6/Mario-Mitaj,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-340,2003,0,2.4,0,3,270,https://fbref.com/en/players/0bf123b6/matchlogs/2024/summary/Mario-Mitaj-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,,5,-3.2,-1.07,,5.7,,,,,
352,Aleksandar Mitrović,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,FW,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-299,1994,0,2.0,0,3,240,https://fbref.com/en/players/3925dbd6/matchlogs/2024/summary/Aleksandar-Mitrovic-Match-Logs,80,88.9,2.7,3,80,,0.67,2,1,-1,-0.37,+0.17,2,-0.37,-0.4,-0.13,2.4,,,,,
353,Maximilian Mittelstädt,https://fbref.com/en/players/88d4144a/Maximilian-Mittelstadt,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-115,1997,5.9,1.75,,4,304,https://fbref.com/en/players/88d4144a/matchlogs/2024/summary/Maximilian-Mittelstadt-Match-Logs,76,63.3,3.4,3,80,,1,2,64,+0.18,+1.08,+5,1,+3.3,+0.46,+1.48,8,2.6,3,,,
354,Filip Mladenović,https://fbref.com/en/players/a3eabee0/Filip-Mladenovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,32-331,1991,33,0.9,0,3,111,https://fbref.com/en/players/a3eabee0/matchlogs/2024/summary/Filip-Mladenovic-Match-Logs,37,1.2,1.0,1,,0,2,0,,-0.2,,,,41.1,45,,-0.13,0,,+0.03,0.67,+0.57
355,Jan Mlakar,https://fbref.com/en/players/44d9bd5e/Jan-Mlakar,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-262,1998,0,1.9,0,4,295,https://fbref.com/en/players/44d9bd5e/matchlogs/2024/summary/Jan-Mlakar-Match-Logs,74,75.6,3.3,4,74,0,1.00,1,4.0,-1,-0.31,+0.09,,-1.25,-2.1,-0.64,,0,,,,
356,Jakub Moder,https://fbref.com/en/players/f230bc30/Jakub-Moder,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-095,1999,2.8,0.33,0,3,180,https://fbref.com/en/players/f230bc30/matchlogs/2024/summary/Jakub-Moder-Match-Logs,60,66.7,2.0,1,90,,2,1,45,-3,-1.50,-0.35,1,-1.50,-1.4,-0.71,4,,4.3,,,
357,Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,38-306,1985,0,4.8,0,3,233,https://fbref.com/en/players/6025fab1/matchlogs/2024/summary/Luka-Modric-Match-Logs,78,86.3,2.6,3,78,,0.67,1,3,-2,-0.77,+1.66,5,-1.51,+0.24,+0.6,4.2,,,,,
358,Vasile Mogos,https://fbref.com/en/players/5a8d43dd/Vasile-Mogos,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-254,1992,0,,0,1,37,https://fbref.com/en/players/5a8d43dd/matchlogs/2024/summary/Vasile-Mogos-Match-Logs,37,0.4,3,1,1,0,0.2,0.4,,-1,-0.2,,,10.3,37,0.00,-2.43,,-2.15,-0.47,,+0.22
359,Horaţiu Moldovan,https://fbref.com/en/players/771ded26/Horatiu-Moldovan,GK,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-173,1998,0,0,0,0,4,https://fbref.com/en/players/771ded26/matchlogs/2024/summary/Horatiu-Moldovan-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
360,Álvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,31-262,1992,6.9,3.00,0,6,382,https://fbref.com/en/players/129af0db/matchlogs/2024/summary/Alvaro-Morata-Match-Logs,64,67.0,4.2,5,73,0,1,19,9,+0.13,+0.79,+7,2,+3.3,+0.21,+1.65,3.6,,,,,
361,Lewis Morgan,https://fbref.com/en/players/b675e328/Lewis-Morgan,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-285,1996,0,,0.0,1,2,https://fbref.com/en/players/b675e328/matchlogs/2024/summary/Lewis-Morgan-Match-Logs,2,2,1,1,0.8,0,0.1,,,-1,-0.7,-28.73,,0.7,2,0.00,-45.00,0,-43.66,-29.67,,
362,Ernest Muçi,https://fbref.com/en/players/1f1229a9/Ernest-Muci,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,23-114,2001,0,,0,2,14,https://fbref.com/en/players/1f1229a9/matchlogs/2024/summary/Ernest-Muci-Match-Logs,7,0.2,1,2,,0,0.4,0.0,,,+3.96,+0.4,,5.2,7,0.00,,0,,+2.68,,+0.70
363,Mykhailo Mudryk,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,"FW,MF",ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,23-188,2001,0,2.2,0,2,174,https://fbref.com/en/players/049a888d/matchlogs/2024/summary/Mykhailo-Mudryk-Match-Logs,87,64.4,1.9,2,87,,1.50,1,2,-2,-1.03,+0.3,4,-1.03,+0.24,+0.16,1.9,,,,,
364,Mert Müldür,https://fbref.com/en/players/1295552e/Mert-Muldur,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-099,1999,0,5.0,,4,345,https://fbref.com/en/players/1295552e/matchlogs/2024/summary/Mert-Muldur-Match-Logs,86,76.7,3.8,4,86,,2.25,2,1,-1.8,-0.46,+2,7,-0.58,+2.24,+0.52,5,,6.8,,,
365,Thomas Müller,https://fbref.com/en/players/3c6089ab/Thomas-Muller,"MF,FW",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,34-302,1989,0,,0,2,58,https://fbref.com/en/players/3c6089ab/matchlogs/2024/summary/Thomas-Muller-Match-Logs,29,0.6,3,2,2,0,1.3,2,0.9,,,+0.4,,12.1,29,,-1.49,,,+0.35,1.50,+1.33
366,Jamal Musiala,https://fbref.com/en/players/2c0558b8/Jamal-Musiala,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-136,2003,0,8.4,0,5,419,https://fbref.com/en/players/2c0558b8/matchlogs/2024/summary/Jamal-Musiala-Match-Logs,84,87.3,4.7,5,84,,2.00,1,9,-0.19,+0.18,+6,3,+1.04,+4.5,+1.29,3.9,,,,,
367,Yvon Mvogo,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,GK,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,30-035,1994,0,0,0,0,5,https://fbref.com/en/players/dc29b608/matchlogs/2024/summary/Yvon-Mvogo-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
368,Phillipp Mwene,https://fbref.com/en/players/2ff76adc/Phillipp-Mwene,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-164,1994,0,1.9,0,3,194,https://fbref.com/en/players/2ff76adc/matchlogs/2024/summary/Phillipp-Mwene-Match-Logs,65,53.9,2.2,3,65,,1.00,1,1,-2,-0.93,-2.26,3,-2.55,-1.9,-0.88,3.8,,,,,
369,Bohdan Mykhaylychenko,https://fbref.com/en/players/3e9bd29d/Bohdan-Mykhaylychenko,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-112,1997,0,0,0,0,3,https://fbref.com/en/players/3e9bd29d/matchlogs/2024/summary/Bohdan-Mykhaylychenko-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
370,Vitaliy Mykolenko,https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-043,1999,0,,0,1,57,https://fbref.com/en/players/30d4a2e5/matchlogs/2024/summary/Vitaliy-Mykolenko-Match-Logs,57,0.6,2,1,0.5,0,0.3,,,-0.2,,,,21.1,57,,-0.36,0,-0.54,,1.00,+0.85
371,Joakim Mæhle,https://fbref.com/en/players/c459a650/Joakim-Maehle,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,27-052,1997,2.7,0.75,0,4,283,https://fbref.com/en/players/c459a650/matchlogs/2024/summary/Joakim-Maehle-Match-Logs,71,78.6,3.1,3,90,,1,3,13,-2,-0.64,-1.53,1,-0.64,-1.4,-0.44,3,,4.1,,,
372,Nacho,https://fbref.com/en/players/2946f9a1/Nacho,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,34-175,1990,3.9,3.00,,3,255,https://fbref.com/en/players/2946f9a1/matchlogs/2024/summary/Nacho-Match-Logs,85,44.7,2.8,2,90,,1,2,75,-1.1,-0.46,+5,2,-1.98,+0.34,+1.76,7,5.0,2,,,
373,Ádám Nagy,https://fbref.com/en/players/788b31e2/Adam-Nagy,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-024,1995,3.0,1.00,0,3,159,https://fbref.com/en/players/788b31e2/matchlogs/2024/summary/Adam-Nagy-Match-Logs,53,58.9,1.8,2,65,0,1,30,2,-1,-0.57,+1.06,3,+1.21,+0.43,+0.8,2.2,,,,,
374,Zsolt Nagy,https://fbref.com/en/players/b415bfe3/Zsolt-Nagy,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,31-047,1993,0,,0,2,21,https://fbref.com/en/players/b415bfe3/matchlogs/2024/summary/Zsolt-Nagy-Match-Logs,11,0.2,1,2,1,0,1.1,0.5,,+2.80,+2.51,+1,,7.8,11,+0.6,,,,+5.73,1.50,+4.29
