right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,left href 3
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0.1,6,5,1,0,0,1,0,0,0,0,0,0,3,0,0,https://fbref.com/en/players/4e204552/matchlogs/2024/passing_types/Jacob-Bruun-Larsen-Match-Logs
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,1.4,16,15,1,0,0,1,1,0,0,0,0,0,8,0,0,https://fbref.com/en/players/8f3565b3/matchlogs/2024/passing_types/Ante-Budimir-Match-Logs
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,1.7,13,11,2,0,0,0,0,0,0,0,0,0,11,0,0,https://fbref.com/en/players/3b676989/matchlogs/2024/passing_types/Adam-Buksa-Match-Logs
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4.0,141,132,9,0,0,5,3,0,0,0,0,2,113,4,1,https://fbref.com/en/players/c83623e2/matchlogs/2024/passing_types/Andrei-Burca-Match-Logs
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3.0,232,228,4,0,0,4,3,0,0,0,0,0,215,2,1,https://fbref.com/en/players/aded8e6f/matchlogs/2024/passing_types/Riccardo-Calafiori-Match-Logs
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,3.9,261,238,23,0,0,9,2,0,0,232,0,4,6,13,16,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/passing_types/Hakan-Calhanoglu-Match-Logs
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.9,86,86,2,0,0,0,0,0,0,0,0,0,74,0,0,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/passing_types/Eduardo-Camavinga-Match-Logs
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0.8,48,46,2,0,0,5,1,0,0,38,0,0,1,1,1,https://fbref.com/en/players/247ed022/matchlogs/2024/passing_types/Andrea-Cambiaso-Match-Logs
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,1.1,70,68,2,0,0,2,1,0,0,0,0,0,65,0,0,https://fbref.com/en/players/a65ce836/matchlogs/2024/passing_types/Emre-Can-Match-Logs
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,3.8,259,230,27,0,0,1,2,0,7,0,2,26,224,9,4,https://fbref.com/en/players/bd6351cd/matchlogs/2024/passing_types/Joao-Cancelo-Match-Logs
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.4,98,93,5,0,0,1,1,0,0,0,0,1,84,4,3,https://fbref.com/en/players/de39485a/matchlogs/2024/passing_types/Yannick-Carrasco-Match-Logs
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4.2,253,228,25,0,0,5,1,0,0,0,0,3,229,20,6,https://fbref.com/en/players/4958bfb2/matchlogs/2024/passing_types/Dani-Carvajal-Match-Logs
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4.0,221,187,34,0,0,3,5,0,0,0,0,0,187,4,31,https://fbref.com/en/players/197640fd/matchlogs/2024/passing_types/Timothy-Castagne-Match-Logs
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,143,103,39,0,0,4,1,0,0,0,0,0,119,0,0,https://fbref.com/en/players/db401046/matchlogs/2024/passing_types/Koen-Casteels-Match-Logs
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0.7,18,17,1,0,0,0,0,0,0,0,0,0,15,0,0,https://fbref.com/en/players/868c6958/matchlogs/2024/passing_types/Zan-Celar-Match-Logs
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,1.2,55,46,9,0,0,2,6,0,0,0,0,0,44,5,7,https://fbref.com/en/players/31a62dc7/matchlogs/2024/passing_types/Zeki-Celik-Match-Logs
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0.6,33,29,4,0,0,1,5,0,0,26,0,1,1,3,4,https://fbref.com/en/players/bb1cf301/matchlogs/2024/passing_types/Vaclav-Cerny-Match-Logs
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,2.7,93,88,5,0,0,1,4,0,0,79,1,1,3,4,1,https://fbref.com/en/players/76864df8/matchlogs/2024/passing_types/Giorgi-Chakvetadze-Match-Logs
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.9,104,100,3,0,0,1,1,9,1,69,1,2,1,17,1,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/passing_types/Federico-Chiesa-Match-Logs
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0.4,6,6,1,0,0,0,0,0,0,0,0,0,2,0,0,https://fbref.com/en/players/163bbd4a/matchlogs/2024/passing_types/Tomas-Chory-Match-Logs
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,3.9,231,228,3,0,0,3,1,0,0,0,0,0,218,0,0,https://fbref.com/en/players/1cb49278/matchlogs/2024/passing_types/Andreas-Christensen-Match-Logs
