Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
313,João Palhinha,MF,Portugal,28,1995,3.3,0,5,2,40,1.51,0.60,0.00,0.0,21.0,0.00,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2
314,Cole Palmer,"MF,FW",England,21,2002,1.7,1,3,2,67,1.81,1.21,0.33,0.5,19.1,0.00,0.00,0.00,0.2,0.2,0.06,0.8,0.8
315,Mario Pašalić,"FW,MF",Croatia,28,1995,1.3,0,3,0,0,2.33,0.00,0.00,,7.0,0.00,0.00,0.00,0.4,0.4,0.12,-0.4,-0.4
316,Strahinja Pavlović,DF,Serbia,22,2001,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
317,Pedri,MF,Spain,21,2002,2.1,0,6,4,67,2.90,1.94,0.00,0.0,16.1,0.00,0.00,0.00,1.1,1.1,0.18,-1.1,-1.1
318,Peter Pekarík,DF,Slovakia,37,1986,4.2,0,3,0,0,0.72,0.00,0.00,,17.8,0.00,0.00,0.00,0.7,0.7,0.23,-0.7,-0.7
319,Lorenzo Pellegrini,"FW,MF",Italy,27,1996,2.4,0,7,1,14,2.89,0.41,0.00,0.0,17.5,1.00,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5
320,Patrick Pentz,GK,Austria,27,1997,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
321,Pepe,DF,Portugal,40,1983,4.5,0,1,0,0,0.22,0.00,0.00,,10.9,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
322,Danilo Pereira,DF,Portugal,32,1991,1.0,0,1,0,0,1.00,0.00,0.00,,4.1,0.00,0.00,0.00,0.1,0.1,0.12,-0.1,-0.1
323,Ayoze Pérez,FW,Spain,30,1993,0.1,0,3,2,67,20.77,13.85,0.00,0.0,12.5,0.00,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
324,Ivan Perišić,"DF,FW",Croatia,34,1989,1.5,0,4,2,50,2.59,1.29,0.00,0.0,23.3,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
325,Bruno Petković,FW,Croatia,29,1994,1.0,0,3,0,0,3.10,0.00,0.00,,14.2,0.00,0.00,1.00,1.1,0.3,0.10,-1.1,-0.3
326,Krzysztof Piątek,FW,Poland,28,1995,0.7,1,2,1,50,3.05,1.53,0.50,1.0,16.9,0.00,0.00,0.00,0.5,0.5,0.27,0.5,0.5
327,Jordan Pickford,GK,England,29,1994,7.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
328,Jakub Piotrowski,MF,Poland,26,1997,0.6,0,2,0,0,3.10,0.00,0.00,,7.9,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
329,Marin Pongračić,DF,Croatia,26,1997,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
330,Ryan Porteous,DF,Scotland,24,1999,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
331,Stefan Posch,DF,Austria,26,1997,4.0,0,7,3,43,1.75,0.75,0.00,0.0,21.5,0.00,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3
332,Yussuf Poulsen,"FW,MF",Denmark,29,1994,0.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
333,Alexander Prass,DF,Austria,22,2001,1.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
334,Lukáš Provod,MF,Czechia,27,1996,2.6,1,3,3,100,1.16,1.16,0.33,0.3,25.7,0.00,0.00,0.00,0.1,0.1,0.04,0.9,0.9
335,George Pușcaș,FW,Romania,27,1996,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
336,Leopold Querfeld,DF,Austria,20,2003,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
337,Adrien Rabiot,MF,France,28,1995,4.1,0,3,0,0,0.73,0.00,0.00,,19.9,0.00,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
338,Bogdan Racovitan,DF,Romania,23,2000,0.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
339,Predrag Rajković,GK,Serbia,28,1995,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
340,Anthony Ralston,DF,Scotland,25,1998,2.9,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
341,Ylber Ramadani,MF,Albania,27,1996,2.9,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
342,Gonçalo Ramos,FW,Portugal,22,2001,0.3,0,1,0,0,3.60,0.00,0.00,,5.5,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
343,Giacomo Raspadori,FW,Italy,23,2000,0.9,0,1,0,0,1.08,0.00,0.00,,29.3,1.00,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1
344,Andrei Ratiu,DF,Romania,25,1998,4.0,0,3,3,100,0.75,0.75,0.00,0.0,18.9,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
345,David Raum,DF,Germany,25,1998,1.8,0,1,0,0,0.54,0.00,0.00,,27.5,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
346,David Raya,GK,Spain,28,1995,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
347,Tijjani Reijnders,MF,Netherlands,25,1998,5.5,0,10,0,0,1.81,0.00,0.00,,21.3,0.00,0.00,0.00,0.7,0.7,0.07,-0.7,-0.7
348,Mateo Retegui,FW,Italy,24,1999,1.7,0,4,1,25,2.37,0.59,0.00,0.0,15.3,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
349,Declan Rice,MF,England,25,1999,7.7,0,9,3,33,1.17,0.39,0.00,0.0,20.2,0.00,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4
350,Fabian Rieder,MF,Switzerland,21,2002,2.4,0,1,1,100,0.41,0.41,0.00,0.0,28.1,1.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
351,Andrew Robertson,DF,Scotland,29,1994,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
352,Rodri,MF,Spain,27,1996,5.8,1,5,1,20,0.87,0.17,0.20,1.0,24.2,0.00,0.00,0.00,0.3,0.3,0.07,0.7,0.7
353,Ricardo Rodríguez,DF,Switzerland,31,1992,5.3,0,3,0,0,0.56,0.00,0.00,,27.2,0.00,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
354,Taras Romanchuk,MF,Poland,32,1991,0.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
355,Cristiano Ronaldo,FW,Portugal,38,1985,5.4,0,22,9,41,4.08,1.67,0.00,0.0,17.3,7.00,0.00,1.00,3.6,2.8,0.13,-3.6,-2.8
356,Antonio Rüdiger,DF,Germany,30,1993,5.3,0,4,1,25,0.75,0.19,0.00,0.0,21.5,0.00,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
357,Fabián Ruiz Peña,MF,Spain,27,1996,6.0,2,17,6,35,2.83,1.00,0.12,0.3,21.2,0.00,0.00,0.00,1.7,1.7,0.10,0.3,0.3
358,Adrian Rus,MF,Romania,27,1996,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
359,Marcel Sabitzer,"FW,MF",Austria,29,1994,4.0,1,12,3,25,3.00,0.75,0.08,0.3,20.7,2.00,0.00,0.00,0.9,0.9,0.07,0.1,0.1
360,Bukayo Saka,"FW,DF",England,22,2001,7.0,1,8,1,13,1.14,0.14,0.13,1.0,18.2,0.00,0.00,0.00,0.4,0.4,0.05,0.6,0.6
361,Bartosz Salamon,DF,Poland,32,1991,0.9,0,1,0,0,1.06,0.00,0.00,,62.6,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
362,William Saliba,DF,France,22,2001,6.3,0,2,0,0,0.32,0.00,0.00,,15.6,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
363,Roland Sallai,MF,Hungary,26,1997,3.0,0,8,2,25,2.71,0.68,0.00,0.0,17.6,0.00,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6
364,Lazar Samardzic,MF,Serbia,21,2002,0.6,0,1,0,0,1.67,0.00,0.00,,20.5,0.00,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1
365,Leroy Sané,FW,Germany,28,1996,2.3,0,7,3,43,3.03,1.30,0.00,0.0,21.7,1.00,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4
366,Leo Sauer,FW,Slovakia,18,2005,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
367,Gianluca Scamacca,FW,Italy,25,1999,2.8,0,6,1,17,2.15,0.36,0.00,0.0,18.0,0.00,0.00,0.00,0.6,0.6,0.10,-0.6,-0.6
368,András Schäfer,MF,Hungary,24,1999,3.0,0,2,1,50,0.67,0.33,0.00,0.0,21.5,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
369,Fabian Schär,DF,Switzerland,32,1991,5.3,0,5,0,0,0.94,0.00,0.00,,17.6,0.00,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
370,Patrik Schick,FW,Czechia,28,1996,1.4,1,7,4,57,4.96,2.83,0.14,0.3,11.4,0.00,0.00,0.00,1.5,1.5,0.21,-0.5,-0.5
371,Nico Schlotterbeck,DF,Germany,24,1999,1.3,0,2,1,50,1.50,0.75,0.00,0.0,9.8,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
372,Kasper Schmeichel,GK,Denmark,37,1986,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
373,Romano Schmid,"FW,MF",Austria,24,2000,1.6,1,1,1,100,0.62,0.62,1.00,1.0,10.1,0.00,0.00,0.00,0.1,0.1,0.13,0.9,0.9
374,Jerdy Schouten,MF,Netherlands,27,1997,5.6,0,1,0,0,0.18,0.00,0.00,,14.3,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
375,Ivan Schranz,FW,Slovakia,30,1993,3.7,3,5,4,80,1.36,1.09,0.60,0.8,10.3,0.00,0.00,0.00,1.0,1.0,0.21,2.0,2.0
376,Taulant Seferi,FW,Albania,27,1996,1.0,0,1,1,100,0.96,0.96,0.00,0.0,29.5,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
377,Nicolas Seiwald,MF,Austria,22,2001,4.0,0,1,1,100,0.25,0.25,0.00,0.0,28.0,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
378,Nélson Semedo,DF,Portugal,30,1993,1.1,0,2,1,50,1.80,0.90,0.00,0.0,17.4,0.00,0.00,0.00,0.2,0.2,0.10,-0.2,-0.2
379,Benjamin Šeško,FW,Slovenia,20,2003,4.0,0,8,4,50,2.01,1.01,0.00,0.0,22.4,0.00,0.00,0.00,0.9,0.9,0.11,-0.9,-0.9
380,Petr Ševčík,MF,Czechia,29,1994,0.2,0,1,0,0,4.09,0.00,0.00,,16.8,0.00,0.00,0.00,0.1,0.1,0.12,-0.1,-0.1
381,Stephan El Shaarawy,FW,Italy,31,1992,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
382,Lawrence Shankland,FW,Scotland,28,1995,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
383,Mykola Shaparenko,MF,Ukraine,25,1998,2.4,1,1,1,100,0.41,0.41,1.00,1.0,11.9,0.00,0.00,0.00,0.2,0.2,0.22,0.8,0.8
384,Xherdan Shaqiri,"MF,FW",Switzerland,32,1991,0.8,1,1,1,100,1.27,1.27,1.00,1.0,23.4,0.00,0.00,0.00,0.1,0.1,0.07,0.9,0.9
385,Luke Shaw,DF,England,28,1995,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
386,Vincent Sierro,MF,Switzerland,28,1995,0.4,0,1,0,0,2.37,0.00,0.00,,31.0,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
387,António Silva,DF,Portugal,20,2003,0.8,0,1,0,0,1.23,0.00,0.00,,3.6,0.00,0.00,0.00,0.1,0.1,0.12,-0.1,-0.1
388,Bernardo Silva,"FW,MF",Portugal,29,1994,4.7,1,7,2,29,1.50,0.43,0.14,0.5,14.5,0.00,0.00,0.00,0.7,0.7,0.10,0.3,0.3
389,Unai Simón,GK,Spain,26,1997,6.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
390,Xavi Simons,"MF,FW",Netherlands,20,2003,5.0,1,10,4,40,1.98,0.79,0.10,0.3,24.3,0.00,0.00,0.00,0.6,0.6,0.06,0.4,0.4
391,Michał Skóraś,DF,Poland,23,2000,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
392,Łukasz Skorupski,GK,Poland,32,1991,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
393,Andreas Skov Olsen,"MF,FW",Denmark,24,1999,1.4,0,1,0,0,0.74,0.00,0.00,,17.6,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
394,Milan Škriniar,DF,Slovakia,28,1995,4.3,0,3,0,0,0.69,0.00,0.00,,17.4,0.00,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3
395,Bartosz Slisz,MF,Poland,24,1999,1.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
396,Yann Sommer,GK,Switzerland,35,1988,5.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
397,Deian Sorescu,"MF,DF",Romania,26,1997,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
398,Borna Sosa,DF,Croatia,26,1998,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
399,Tomáš Souček,MF,Czechia,28,1995,3.0,1,2,1,50,0.67,0.33,0.50,1.0,13.8,0.00,0.00,0.00,0.6,0.6,0.28,0.4,0.4
400,Andraž Šporar,FW,Slovenia,29,1994,3.8,0,7,1,14,1.86,0.27,0.00,0.0,14.5,0.00,0.00,0.00,1.0,1.0,0.14,-1.0,-1.0
401,Nicolae Stanciu,"MF,FW",Romania,30,1993,3.9,1,4,2,50,1.02,0.51,0.25,0.5,25.9,1.00,0.00,0.00,0.2,0.2,0.05,0.8,0.8
402,Jindřich Staněk,GK,Czechia,27,1996,2.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
403,Josip Stanišić,DF,Croatia,23,2000,2.0,0,1,0,0,0.50,0.00,0.00,,8.7,0.00,0.00,0.00,0.2,0.2,0.19,-0.2,-0.2
404,Renato Steffen,DF,Switzerland,32,1991,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
405,Taras Stepanenko,MF,Ukraine,34,1989,0.9,0,1,0,0,1.10,0.00,0.00,,9.3,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
406,Leonidas Stergiou,DF,Switzerland,21,2002,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
407,Petar Stojanović,MF,Slovenia,28,1995,3.5,0,1,0,0,0.28,0.00,0.00,,28.4,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
408,John Stones,DF,England,29,1994,7.7,0,1,0,0,0.13,0.00,0.00,,10.2,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
409,Thomas Strakosha,GK,Albania,28,1995,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
410,Dávid Strelec,FW,Slovakia,22,2001,2.0,0,7,1,14,3.46,0.49,0.00,0.0,21.0,0.00,0.00,0.00,0.7,0.7,0.10,-0.7,-0.7
411,Callum Styles,MF,Hungary,23,2000,0.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
412,Luka Sučić,"FW,MF",Croatia,21,2002,1.6,0,3,2,67,1.93,1.29,0.00,0.0,18.0,0.00,0.00,0.00,0.6,0.6,0.19,-0.6,-0.6
413,Heorhiy Sudakov,MF,Ukraine,21,2002,2.9,0,9,4,44,3.09,1.37,0.00,0.0,23.9,2.00,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5
414,Pavel Šulc,MF,Czechia,23,2000,0.9,0,1,0,0,1.15,0.00,0.00,,17.7,0.00,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1
415,Tomáš Suslov,"FW,MF",Slovakia,21,2002,1.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
416,Josip Šutalo,DF,Croatia,23,2000,3.0,0,1,0,0,0.33,0.00,0.00,,1.4,0.00,0.00,0.00,0.6,0.6,0.61,-0.6,-0.6
417,Oleksandr Svatok,DF,Ukraine,29,1994,0.9,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
418,Karol Świderski,FW,Poland,27,1997,1.0,0,2,2,100,2.00,2.00,0.00,0.0,15.0,0.00,0.00,0.00,0.3,0.3,0.15,-0.3,-0.3
419,Serhiy Sydorchuk,MF,Ukraine,32,1991,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
420,Attila Szalai,DF,Hungary,26,1998,1.1,0,1,0,0,0.95,0.00,0.00,,12.6,0.00,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1
421,Wojciech Szczęsny,GK,Poland,33,1990,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
422,Dominik Szoboszlai,MF,Hungary,23,2000,3.0,0,6,2,33,2.00,0.67,0.00,0.0,22.1,2.00,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3
423,Sebastian Szymański,MF,Poland,24,1999,1.2,0,1,0,0,0.80,0.00,0.00,,17.8,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
424,Dušan Tadić,MF,Serbia,35,1988,1.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
425,Jonathan Tah,DF,Germany,27,1996,3.5,0,1,0,0,0.28,0.00,0.00,,11.9,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
426,Maksym Talovierov,MF,Ukraine,23,2000,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
427,Aurélien Tchouaméni,MF,France,24,2000,5.2,0,12,2,17,2.30,0.38,0.00,0.0,25.2,0.00,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4
428,Arthur Theate,DF,Belgium,23,2000,2.8,0,2,0,0,0.70,0.00,0.00,,30.6,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
429,Marcus Thuram,FW,France,26,1997,2.9,0,12,2,17,4.15,0.69,0.00,0.0,13.8,0.00,0.00,0.00,0.7,0.7,0.06,-0.7,-0.7
430,Youri Tielemans,MF,Belgium,26,1997,1.6,1,4,1,25,2.43,0.61,0.25,1.0,24.2,0.00,0.00,0.00,0.1,0.1,0.03,0.9,0.9
431,Kieran Tierney,DF,Scotland,26,1997,1.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
432,Ivan Toney,FW,England,27,1996,0.5,0,1,0,0,2.00,0.00,0.00,,21.9,0.00,0.00,0.00,0.1,0.1,0.11,-0.1,-0.1
433,Ferrán Torres,"FW,MF",Spain,23,2000,1.7,1,5,1,20,2.90,0.58,0.20,1.0,13.8,0.00,0.00,0.00,0.6,0.6,0.13,0.4,0.4
434,Cenk Tosun,FW,Türkiye,32,1991,0.3,1,3,1,33,10.80,3.60,0.33,1.0,12.7,0.00,0.00,0.00,0.3,0.3,0.11,0.7,0.7
435,Gernot Trauner,DF,Austria,31,1992,1.0,1,1,1,100,1.00,1.00,1.00,1.0,5.9,0.00,0.00,0.00,0.1,0.1,0.08,0.9,0.9
436,Kieran Trippier,DF,England,33,1990,5.0,0,1,0,0,0.20,0.00,0.00,,17.8,0.00,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1
437,Leandro Trossard,FW,Belgium,29,1994,1.9,0,4,1,25,2.13,0.53,0.00,0.0,22.8,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
438,Anatolii Trubin,GK,Ukraine,22,2001,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
439,Heorhii Tsitaishvili,"DF,MF",Georgia,23,2000,2.1,0,3,2,67,1.42,0.95,0.00,0.0,15.1,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
440,Viktor Tsyhankov,FW,Ukraine,26,1997,0.7,0,2,0,0,2.90,0.00,0.00,,20.9,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
441,Ľubomír Tupta,MF,Slovakia,25,1998,0.1,0,1,0,0,7.50,0.00,0.00,,30.8,1.00,0.00,0.00,0.0,0.0,0.05,0.0,0.0
442,Oleksandr Tymchyk,DF,Ukraine,27,1997,2.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
443,Deniz Undav,MF,Germany,27,1996,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
444,Dayot Upamecano,DF,France,25,1998,6.3,0,3,0,0,0.47,0.00,0.00,,8.1,0.00,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3
445,Kacper Urbanski,"FW,MF",Poland,19,2004,1.6,0,2,1,50,1.22,0.61,0.00,0.0,21.5,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
446,Virgil van Dijk,DF,Netherlands,32,1991,6.0,0,5,1,20,0.83,0.17,0.00,0.0,11.3,0.00,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5
447,Vladyslav Vanat,FW,Ukraine,22,2002,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
448,Barnabás Varga,FW,Hungary,30,1994,2.8,1,4,2,50,1.45,0.72,0.25,0.5,6.2,0.00,0.00,0.00,1.2,1.2,0.31,-0.2,-0.2
449,Ruben Vargas,"MF,FW",Switzerland,25,1998,3.4,1,5,4,80,1.47,1.18,0.20,0.3,16.1,0.00,0.00,0.00,0.7,0.7,0.14,0.3,0.3
450,Denis Vavro,DF,Slovakia,27,1996,4.3,0,3,0,0,0.69,0.00,0.00,,25.7,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
451,Joey Veerman,MF,Netherlands,25,1998,2.3,0,2,0,0,0.86,0.00,0.00,,17.8,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
452,Miloš Veljković,DF,Serbia,28,1995,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
453,Micky van de Ven,DF,Netherlands,22,2001,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
454,Benjamin Verbič,MF,Slovenia,30,1993,0.8,0,1,0,0,1.22,0.00,0.00,,26.2,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
455,Bart Verbruggen,GK,Netherlands,21,2002,6.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
456,Jan Vertonghen,DF,Belgium,36,1987,3.0,0,1,0,0,0.33,0.00,0.00,,11.6,0.00,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1
457,Jannik Vestergaard,DF,Denmark,31,1992,4.0,0,4,2,50,1.00,0.50,0.00,0.0,10.7,0.00,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
458,Žan Vipotnik,FW,Slovenia,21,2002,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
459,Vitinha,MF,Portugal,23,2000,4.0,0,8,3,38,2.01,0.75,0.00,0.0,22.4,0.00,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6
460,Daniel Vivian,DF,Spain,24,1999,1.4,0,1,0,0,0.73,0.00,0.00,,12.0,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
461,Dušan Vlahović,"MF,FW",Serbia,24,2000,2.0,0,6,2,33,3.05,1.02,0.00,0.0,21.1,1.00,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
462,Stefan de Vrij,DF,Netherlands,31,1992,6.0,1,4,1,25,0.67,0.17,0.25,1.0,9.5,0.00,0.00,0.00,0.3,0.3,0.08,0.7,0.7
463,Kyle Walker,DF,England,33,1990,7.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
464,Ollie Watkins,FW,England,28,1995,0.7,1,3,2,67,4.35,2.90,0.33,0.5,16.8,0.00,0.00,0.00,0.3,0.3,0.10,0.7,0.7
465,Wout Weghorst,FW,Netherlands,31,1992,1.5,1,4,2,50,2.61,1.30,0.25,0.5,9.5,0.00,0.00,0.00,0.6,0.6,0.16,0.4,0.4
466,Andreas Weimann,FW,Austria,32,1991,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
467,Silvan Widmer,DF,Switzerland,30,1993,3.3,0,2,0,0,0.60,0.00,0.00,,12.7,0.00,0.00,0.00,0.3,0.3,0.15,-0.3,-0.3
468,Georginio Wijnaldum,MF,Netherlands,33,1990,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
469,Nico Williams,FW,Spain,21,2002,5.5,2,11,3,27,2.01,0.55,0.18,0.7,16.1,0.00,0.00,0.00,1.0,1.0,0.09,1.0,1.0
470,Patrick Wimmer,"FW,MF",Austria,22,2001,1.5,0,3,2,67,1.96,1.30,0.00,0.0,18.7,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
471,Jonas Wind,FW,Denmark,24,1999,2.1,0,5,1,20,2.33,0.47,0.00,0.0,12.5,0.00,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5
472,Florian Wirtz,"FW,MF",Germany,20,2003,3.1,2,8,3,38,2.58,0.97,0.25,0.7,20.3,0.00,0.00,0.00,0.6,0.6,0.08,1.4,1.4
473,Maximilian Wöber,DF,Austria,25,1998,1.9,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
474,Granit Xhaka,MF,Switzerland,31,1992,5.3,0,4,3,75,0.75,0.56,0.00,0.0,18.2,0.00,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
475,Lamine Yamal,FW,Spain,16,2007,5.6,1,18,7,39,3.22,1.25,0.06,0.1,20.6,3.00,0.00,0.00,1.8,1.8,0.10,-0.8,-0.8
476,Roman Yaremchuk,FW,Ukraine,28,1995,1.3,1,6,2,33,4.46,1.49,0.17,0.5,15.6,0.00,0.00,0.00,0.4,0.4,0.07,0.6,0.6
