Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
25,Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,0,3,0,0,5.63,0.00,0.00,,16.0,0.00,0.00,0.00,0.6,0.6,0.22,-0.6,-0.6
26,Jure Balkovec,DF,Slovenia,29,1994,1.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
27,Iván Balliu,DF,Albania,32,1992,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
28,Nicușor Bancu,DF,Romania,31,1992,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
29,Antonín Barák,MF,Czechia,29,1994,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
30,Bradley Barcola,"FW,MF",France,21,2002,1.1,0,2,1,50,1.75,0.87,0.00,0.0,9.9,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
31,Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,0,2,0,0,0.50,0.00,0.00,,8.9,0.00,0.00,0.00,0.3,0.3,0.13,-0.3,-0.3
32,Nicolò Barella,MF,Italy,26,1997,3.7,1,1,1,100,0.27,0.27,1.00,1.0,21.7,0.00,0.00,0.00,0.1,0.1,0.09,0.9,0.9
33,Alessandro Bastoni,DF,Italy,24,1999,4.0,1,3,2,67,0.75,0.50,0.33,0.5,6.4,0.00,0.00,0.00,0.5,0.5,0.17,0.5,0.5
34,Martin Baturina,FW,Croatia,20,2003,0.1,0,1,1,100,12.86,12.86,0.00,0.0,13.3,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
35,Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,1,8,4,50,2.49,1.25,0.13,0.3,11.5,0.00,0.00,0.00,1.8,1.8,0.22,-0.8,-0.8
36,Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
37,Jan Bednarek,DF,Poland,27,1996,3.0,0,1,0,0,0.33,0.00,0.00,,11.5,0.00,0.00,0.00,0.2,0.2,0.16,-0.2,-0.2
38,Maximilian Beier,FW,Germany,21,2002,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
39,Jude Bellingham,"MF,FW",England,20,2003,7.4,2,6,3,50,0.81,0.40,0.33,0.7,13.7,0.00,0.00,0.00,0.6,0.6,0.11,1.4,1.4
40,László Bénes,MF,Slovakia,26,1997,0.8,0,1,0,0,1.27,0.00,0.00,,16.3,0.00,0.00,0.00,0.1,0.1,0.10,-0.1,-0.1
41,Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
42,Steven Bergwijn,FW,Netherlands,26,1997,1.0,0,1,0,0,1.00,0.00,0.00,,31.7,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
43,Medon Berisha,MF,Albania,20,2003,0.2,0,1,0,0,4.29,0.00,0.00,,26.6,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
44,Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,0,1,0,0,0.58,0.00,0.00,,20.2,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
45,Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,0,1,0,0,2.20,0.00,0.00,,26.6,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
46,Jaka Bijol,DF,Slovenia,24,1999,4.3,0,1,0,0,0.23,0.00,0.00,,7.1,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
47,Veljko Birmančević,DF,Serbia,25,1998,0.3,0,1,0,0,3.46,0.00,0.00,,24.6,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
48,Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
49,Bendegúz Bolla,DF,Hungary,24,1999,2.3,0,3,1,33,1.32,0.44,0.00,0.0,22.3,0.00,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
50,Endre Botka,DF,Hungary,29,1994,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
51,Jarrod Bowen,FW,England,27,1996,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
52,Róbert Boženík,FW,Slovakia,24,1999,2.3,0,3,1,33,1.30,0.43,0.00,0.0,17.7,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
53,Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,0,2,1,50,0.99,0.49,0.00,0.0,30.6,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
54,David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
55,Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
56,Armando Broja,FW,Albania,22,2001,1.2,0,2,2,100,1.67,1.67,0.00,0.0,13.8,0.00,0.00,0.00,0.2,0.2,0.11,-0.2,-0.2
57,Marcelo Brozović,MF,Croatia,31,1992,2.5,0,3,2,67,1.20,0.80,0.00,0.0,24.8,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
58,Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
59,Ante Budimir,FW,Croatia,32,1991,1.4,0,5,3,60,3.69,2.21,0.00,0.0,9.3,0.00,0.00,0.00,0.8,0.5,0.10,-0.8,-0.5
60,Adam Buksa,FW,Poland,27,1996,1.7,1,3,1,33,1.81,0.60,0.33,1.0,12.8,0.00,0.00,0.00,0.2,0.2,0.05,0.8,0.8
61,Andrei Burcă,DF,Romania,30,1993,4.0,0,1,0,0,0.25,0.00,0.00,,9.0,0.00,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1
62,Riccardo Calafiori,DF,Italy,21,2002,3.0,0,3,0,0,1.00,0.00,0.00,,11.1,0.00,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
63,Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,1,10,2,20,2.54,0.51,0.10,0.5,22.4,1.00,0.00,0.00,0.4,0.4,0.04,0.6,0.6
64,Eduardo Camavinga,MF,France,21,2002,1.9,0,2,0,0,1.07,0.00,0.00,,17.2,0.00,0.00,0.00,0.3,0.3,0.14,-0.3,-0.3
65,Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
66,Emre Can,MF,Germany,30,1994,1.1,1,1,1,100,0.88,0.88,1.00,1.0,23.3,0.00,0.00,0.00,0.0,0.0,0.04,1.0,1.0
67,João Cancelo,"DF,MF",Portugal,29,1994,3.8,0,2,0,0,0.52,0.00,0.00,,15.6,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
68,Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,0,6,1,17,2.48,0.41,0.00,0.0,17.0,0.00,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3
69,Dani Carvajal,DF,Spain,32,1992,5.2,1,2,2,100,0.38,0.38,0.50,0.5,7.4,0.00,0.00,0.00,0.5,0.5,0.26,0.5,0.5
70,Timothy Castagne,DF,Belgium,28,1995,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
71,Koen Casteels,GK,Belgium,31,1992,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
72,Žan Celar,"FW,MF",Slovenia,24,1999,0.7,0,1,0,0,1.34,0.00,0.00,,28.4,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
73,Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,0,1,0,0,0.86,0.00,0.00,,11.2,0.00,0.00,0.00,0.2,0.2,0.20,-0.2,-0.2
