Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off1
364,Mert Müldür,"DF,MF",Türkiye,24,1999,4,345,86,76.7,3.8,4,86,2,0,,1,2.25,7,5,2,0.52,2.24,5.00,6.80,-1.80,-0.46,-0.58
365,Thomas Müller,"MF,FW",Germany,34,1989,2,58,29,12.1,0.6,0,,0,2,29,3,1.50,2,2,0,0.00,-1.49,1.30,0.90,0.40,1.33,0.35
366,Jamal Musiala,FW,Germany,20,2003,5,419,84,87.3,4.7,5,84,1,0,,0,2.00,9,3,6,1.29,-0.19,8.40,3.90,4.50,1.04,0.18
367,Yvon Mvogo,GK,Switzerland,29,1994,0,,,,,0,,0,0,,5,,,,,,,,,,,
368,Phillipp Mwene,DF,Austria,30,1994,3,194,65,53.9,2.2,3,65,0,0,,1,1.00,1,3,-2,-0.93,-2.55,1.90,3.80,-1.90,-0.88,-2.26
369,Bohdan Mykhaylychenko,DF,Ukraine,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
370,Vitaliy Mykolenko,DF,Ukraine,24,1999,1,57,57,21.1,0.6,1,57,0,0,,2,1.00,0,0,0,0.00,0.85,0.30,0.50,-0.20,-0.36,-0.54
371,Joakim Mæhle,"DF,MF",Denmark,26,1997,4,283,71,78.6,3.1,3,90,3,1,13,0,0.75,1,3,-2,-0.64,-0.64,2.70,4.10,-1.40,-0.44,-1.53
372,Nacho,DF,Spain,34,1990,4,263,66,39.8,2.9,2,90,2,2,42,2,3.00,8,2,6,2.05,0.92,4.40,5.30,-0.90,-0.35,-1.83
373,Ádám Nagy,MF,Hungary,28,1995,3,159,53,58.9,1.8,2,65,0,1,30,0,1.00,2,3,-1,-0.57,1.06,3.00,2.20,0.80,0.43,1.21
374,Zsolt Nagy,DF,Hungary,30,1993,2,21,11,7.8,0.2,0,,0,2,11,1,1.50,1,0,1,4.29,5.73,1.10,0.50,0.60,2.51,2.80
375,Jesús Navas,DF,Spain,38,1985,3,157,52,23.8,1.7,2,74,1,1,10,4,3.00,4,1,3,1.72,0.29,2.70,1.20,1.50,0.88,0.06
376,Dan Ndoye,"MF,DF",Switzerland,23,2000,5,407,81,84.8,4.5,5,81,0,0,,0,1.80,7,3,4,0.88,0.88,5.40,3.90,1.50,0.33,-0.06
